#elevation	cloud	NE	FWHM
10	0	-24	40
10	0	-22	40
10	0	-21	42
10	0	-24	39
10	0	-26	38
10	0	-24	40
10	0	-20	42
10	0	-24	41
10	0	-23	40
10	0	-22	41
10	0	-21	41
10	0	-21	41
10	1	-22	40
10	1	-21	42
10	1	-20	42
10	1	-24	41
10	1	-23	40
10	1	-22	41
10	1	-22	41
10	1	-21	42
10	1	-21	42
10	1	-20	42
10	1	-21	42
10	1	-19	42
10	2	-24	40
10	2	-23	41
10	2	-20	42
10	2	-20	42
10	2	-22	42
10	2	-23	43
10	2	-26	42
10	2	-21	41
10	2	-22	42
10	2	-23	42
10	2	-24	41
10	2	-26	41
10	3	-21	43
10	3	-22	42
10	3	-26	40
10	3	-20	42
10	3	-25	42
10	3	-23	43
10	3	-24	46
10	3	-20	45
10	3	-22	41
10	3	-20	43
10	3	-21	45
10	3	-21	43
10	4	-18	45
10	4	-20	44
10	4	-22	45
10	4	-20	42
10	4	-18	42
10	4	-26	45
10	4	-18	45
10	4	-25	42
10	4	-23	46
10	4	-25	43
10	4	-25	45
10	4	-26	43
10	5	-25	42
10	5	-27	43
10	5	-24	42
10	5	-24	43
10	5	-25	42
10	5	-21	43
10	5	-19	43
10	5	-16	48
10	5	-17	47
10	5	-20	48
10	5	-22	41
10	5	-24	45
10	6	-27	44
10	6	-27	44
10	6	-25	43
10	6	-25	51
10	6	-25	52
10	6	-28	53
10	6	-30	51
10	6	-22	46
10	6	-22	41
10	6	-28	45
10	6	-22	49
10	6	-25	49
10	7	-21	49
10	7	-28	51
10	7	-18	50
10	7	-20	48
10	7	-18	52
10	7	-24	52
10	7	-27	53
10	7	-30	53
10	7	-26	49
10	7	-16	52
10	7	-30	53
10	7	-30	53
10	8	-29	51
10	8	-17	50
10	8	-25	51
10	8	-27	51
10	8	-19	45
10	8	-20	46
10	8	-22	48
10	8	-26	49
10	8	-26	47
10	8	-25	47
10	8	-27	45
10	8	-23	46
15	0	-19	43
15	0	-19	42
15	0	-15	43
15	0	-15	44
15	0	-15	43
15	0	-15	44
15	0	-14	43
15	0	-15	44
15	0	-15	44
15	0	-16	43
15	0	-16	43
15	0	-15	43
15	1	-14	43
15	1	-18	42
15	1	-15	43
15	1	-17	42
15	1	-18	42
15	1	-19	41
15	1	-18	42
15	1	-19	42
15	1	-17	44
15	1	-15	43
15	1	-18	43
15	1	-17	42
15	2	-12	42
15	2	-13	42
15	2	-16	42
15	2	-18	43
15	2	-17	42
15	2	-18	42
15	2	-18	43
15	2	-15	45
15	2	-19	43
15	2	-19	43
15	2	-14	43
15	2	-19	44
15	3	-9	43
15	3	-17	43
15	3	-6	43
15	3	-13	42
15	3	-15	41
15	3	-15	46
15	3	-14	44
15	3	-15	42
15	3	-14	44
15	3	-16	44
15	3	-12	45
15	3	-9	43
15	4	-16	42
15	4	-13	44
15	4	-12	45
15	4	-15	44
