#elevation	cloud	NE	FWHM
5	0	-29.5833	35.891
5	1	-29.5833	36.1144
5	2	-30.6667	37.8473
5	3	-30.75	38.9776
5	4	-31.0833	41.3924
5	5	-35	48.2511
5	6	-34.0833	47.2096
5	7	-32.4167	47.7528
5	8	-30.8333	51.4466
10	0	-22.6667	40.432
10	1	-21.3333	41.4236
10	2	-22.8333	41.5903
10	3	-22.0833	42.9486
10	4	-22.1667	43.9384
10	5	-22	43.9801
10	6	-25.5	47.4868
10	7	-24	51.2795
10	8	-23.8333	48.0521
15	0	-15.75	43.2541
15	1	-17.0833	42.4235
15	2	-16.5	42.8427
15	3	-12.9167	43.3532
15	4	-12.9167	43.3436
15	5	-12.0833	44.3697
15	6	-12	44.9407
15	7	-12.3333	45.478
15	8	-11.9167	47.3603
20	0	-11.4167	43.0862
20	1	-9.5	42.7561
20	2	-7.91667	43.1779
20	3	-4.83333	43.5086
20	4	-5.33333	42.9253
20	5	-4.33333	44.3434
20	6	-4.83333	43.9441
20	7	-5.91667	44.699
20	8	-0.333333	45.9574
25	0	11.5	46.0304
25	1	8.875	45.3941
25	2	12	46.8651
25	3	11.625	45.9252
25	4	8.5	46.0109
25	5	9.33333	45.5924
25	6	12.5556	46.2649
25	7	11.9091	45.8317
25	8	13.8889	45.8996
