#elevation	cloud	NE	FWHM
10	0	30	40
10	0	28	41
10	0	27	41
10	0	30	41
10	0	31	40
10	0	30	40
10	0	27	42
10	0	30	40
10	0	29	40
10	0	29	41
10	0	28	41
10	0	28	43
10	1	29	41
10	1	28	40
10	1	28	40
10	1	30	40
10	1	29	40
10	1	28	41
10	1	28	41
10	1	28	41
10	1	28	41
10	1	27	41
10	1	29	40
10	1	26	41
10	2	30	40
10	2	29	40
10	2	28	42
10	2	27	42
10	2	29	43
10	2	30	43
10	2	32	41
10	2	27	42
10	2	29	42
10	2	29	42
10	2	31	42
10	2	32	41
10	3	28	43
10	3	29	42
10	3	32	43
10	3	26	43
10	3	31	42
10	3	29	42
10	3	31	42
10	3	35	39
10	3	29	44
10	3	28	43
10	3	29	43
10	3	28	42
10	4	27	42
10	4	28	42
10	4	30	42
10	4	28	43
10	4	26	42
10	4	32	43
10	4	25	44
10	4	31	43
10	4	29	42
10	4	31	43
10	4	31	41
10	4	33	43
10	5	31	44
10	5	32	45
10	5	30	42
10	5	30	42
10	5	30	43
10	5	28	45
10	5	26	45
10	5	26	47
10	5	27	46
10	5	29	47
10	5	27	46
10	5	30	45
10	6	32	42
10	6	33	44
10	6	31	43
10	6	28	50
10	6	30	52
10	6	32	51
10	6	36	49
10	6	28	45
10	6	29	45
10	6	32	44
10	6	30	47
10	6	33	47
10	7	28	48
10	7	31	49
10	7	27	49
10	7	26	48
10	7	28	50
10	7	29	51
10	7	30	52
10	7	33	52
10	7	29	50
10	7	30	50
10	7	32	51
10	7	37	50
10	8	33	50
10	8	33	50
10	8	30	49
10	8	30	48
10	8	26	45
10	8	26	46
10	8	28	45
10	8	29	47
10	8	31	46
10	8	29	46
10	8	32	45
10	8	30	45
15	0	26	41
15	0	26	42
15	0	21	40
15	0	21	41
15	0	20	41
15	0	20	41
15	0	20	41
15	0	20	41
15	0	20	41
15	0	22	40
15	0	22	41
15	0	22	40
15	1	21	42
15	1	25	42
15	1	21	41
15	1	22	42
15	1	24	42
15	1	26	43
15	1	25	42
15	1	25	41
15	1	24	41
15	1	22	40
15	1	24	41
15	1	24	40
15	2	19	42
15	2	21	42
15	2	23	42
15	2	25	43
15	2	24	43
15	2	25	42
15	2	26	41
15	2	25	41
15	2	25	44
15	2	26	43
15	2	20	42
15	2	26	41
15	3	14	43
15	3	24	43
15	3	11	41
15	3	19	43
15	3	21	42
15	3	24	42
15	3	23	42
15	3	22	43
15	3	22	42
15	3	25	45
15	3	20	43
15	3	19	43
15	4	23	43
15	4	21	43
15	4	21	42
15	4	23	43
15	4	19	44
15	4	20	42
15	4	19	42
15	4	19	42
15	4	20	43
15	4	22	46
15	4	17	45
15	4	19	46
15	5	19	43
15	5	18	42
15	5	22	42
15	5	19	42
15	5	19	50
15	5	18	45
15	5	24	43
15	5	23	44
15	5	21	45
15	5	18	44
15	5	22	42
15	5	19	44
15	6	20	44
15	6	24	45
15	6	18	43
15	6	23	43
15	6	18	44
15	6	24	48
15	6	17	48
15	6	15	49
15	6	16	47
15	6	15	48
15	6	15	46
15	6	16	45
15	7	22	45
15	7	20	45
15	7	17	47
15	7	18	46
15	7	21	45
15	7	16	46
15	7	23	44
15	7	21	43
15	7	21	43
15	7	20	45
15	7	18	49
15	7	24	50
15	8	16	48
15	8	26	49
15	8	21	49
15	8	18	48
15	8	16	48
15	8	14	48
15	8	18	49
15	8	25	48
15	8	22	44
15	8	24	46
15	8	17	44
15	8	17	48
20	0	19	40
20	0	20	39
20	0	20	40
20	0	20	40
20	0	19	40
20	0	18	40
20	0	18	40
20	0	20	40
20	0	16	39
20	0	15	39
20	0	13	39
20	0	19	40
20	1	18	42
20	1	17	39
20	1	10	38
20	1	16	40
20	1	18	40
20	1	20	39
20	1	18	39
20	1	15	39
20	1	19	41
20	1	13	37
20	1	14	38
20	1	17	39
20	2	17	41
20	2	14	40
20	2	15	40
20	2	11	40
20	2	16	42
20	2	15	42
20	2	15	42
20	2	16	42
20	2	16	43
20	2	17	42
20	2	10	41
20	2	13	43
20	3	7	41
20	3	16	42
20	3	7	40
20	3	10	41
20	3	9	40
20	3	9	41
20	3	15	43
20	3	13	45
20	3	13	43
20	3	11	43
20	3	10	42
20	3	10	42
20	4	15	41
20	4	13	42
20	4	15	42
20	4	18	41
20	4	13	41
20	4	12	45
20	4	11	46
20	4	9	43
20	4	8	44
20	4	9	43
20	4	15	44
20	4	13	42
20	5	4	43
20	5	8	44
20	5	16	42
20	5	16	42
20	5	18	43
20	5	16	47
20	5	15	44
20	5	6	43
20	5	9	44
20	5	8	44
20	5	6	44
20	5	14	43
20	6	5	41
20	6	7	44
20	6	17	43
20	6	14	43
20	6	15	46
20	6	14	45
20	6	15	45
20	6	12	48
20	6	13	45
20	6	11	47
20	6	14	45
20	6	6	43
20	7	15	44
20	7	11	43
20	7	9	43
20	7	12	43
20	7	16	44
20	7	14	47
20	7	16	46
20	7	14	46
20	7	15	45
20	7	14	46
20	7	14	46
20	7	12	45
20	8	15	47
20	8	13	48
20	8	9	48
20	8	12	47
20	8	6	45
20	8	9	47
20	8	5	44
20	8	5	44
20	8	13	45
20	8	9	45
20	8	5	44
20	8	2	44
25	0	-15	36
25	0	-2	36
25	0	4	35
25	0	-3	36
25	0	2	36
25	0	7	37
25	0	-20	36
25	0	-10	36
25	0	2	35
25	0	8	36
25	1	-3	36
25	1	2	37
25	1	7	37
25	1	-7	38
25	1	-1	37
25	1	7	37
25	1	3	39
25	1	-9	36
25	2	-1	39
25	2	-8	38
25	2	-21	37
25	2	3	40
25	2	4	39
25	2	-5	38
25	2	-1	42
25	2	-1	43
25	2	-2	41
25	2	-6	42
25	2	-8	42
25	2	-9	40
25	3	-3	39
25	3	-12	38
25	3	-17	39
25	3	6	41
25	3	3	44
25	3	2	41
25	3	-11	41
25	3	-4	41
25	4	-10	37
25	4	-1	41
25	4	-2	39
25	4	-3	43
25	4	2	41
25	4	0	39
25	4	-7	40
25	4	-1	41
25	4	3	41
25	4	2	43
25	5	-4	41
25	5	1	43
25	5	1	40
25	5	-16	42
25	5	0	42
25	5	0	43
25	5	2	41
25	5	-3	42
25	5	-13	41
25	6	3	39
25	6	-13	40
25	6	1	41
25	6	-1	41
25	6	1	43
25	6	-8	43
25	6	-19	42
25	6	0	44
25	6	-7	41
25	7	-5	41
25	7	-6	41
25	7	-3	42
25	7	-1	42
25	7	-12	40
25	7	-8	42
25	7	-1	42
25	7	-11	43
25	7	-4	44
25	7	1	44
25	7	0	41
25	8	2	43
25	8	-4	42
25	8	-9	39
25	8	-24	46
25	8	-12	45
25	8	-3	46
25	8	0	46
25	8	0	46
25	8	-12	42
5	0	32	41
5	0	34	37
5	0	31	39
5	0	31	40
5	0	33	39
5	0	35	38
5	0	35	37
5	0	37	38
5	0	36	37
5	0	35	37
5	0	36	38
5	0	32	40
5	1	35	37
5	1	33	39
5	1	34	40
5	1	36	40
5	1	35	39
5	1	34	40
5	1	32	41
5	1	34	40
5	1	35	39
5	1	33	38
5	1	34	40
5	1	35	39
5	2	33	38
5	2	33	40
5	2	36	39
5	2	33	41
5	2	34	42
5	2	36	41
5	2	34	39
5	2	36	39
5	2	39	40
5	2	33	40
5	2	35	42
5	2	38	42
5	3	33	40
5	3	33	41
5	3	38	40
5	3	34	41
5	3	35	42
5	3	38	41
5	3	38	38
5	3	35	39
5	3	32	40
5	3	37	41
5	3	36	42
5	3	38	41
5	4	36	39
5	4	35	41
5	4	36	41
5	4	37	41
5	4	36	39
5	4	33	42
5	4	39	41
5	4	33	42
5	4	38	40
5	4	36	40
5	4	32	42
5	4	31	41
5	5	40	49
5	5	35	48
5	5	32	48
5	5	39	40
5	5	42	48
5	5	37	45
5	5	39	47
5	5	38	48
5	5	34	48
5	5	41	47
5	5	39	42
5	5	41	49
5	6	41	49
5	6	42	50
5	6	42	49
5	6	36	44
5	6	35	42
5	6	40	43
5	6	35	44
5	6	37	44
5	6	41	44
5	6	45	50
5	6	37	48
5	6	40	49
5	7	32	43
5	7	39	47
5	7	34	49
5	7	35	46
5	7	35	44
5	7	40	43
5	7	37	44
5	7	40	48
5	7	39	50
5	7	35	46
5	7	37	44
5	7	36	44
5	8	41	47
5	8	34	47
5	8	39	48
5	8	38	49
5	8	33	51
5	8	32	50
5	8	37	51
5	8	40	52
5	8	34	51
5	8	44	51
5	8	37	46
5	8	36	45
