#elevation	cloud	NE	FWHM
5	0	33.9167	38.4393
5	1	34.1667	39.3467
5	2	35	40.271
5	3	35.5833	40.5154
5	4	35.1667	40.7625
5	5	38.0833	46.6628
5	6	39.25	46.4256
5	7	36.5833	45.7238
5	8	37.0833	49.051
10	0	28.9167	40.8432
10	1	28.1667	40.5863
10	2	29.4167	41.6773
10	3	29.5833	42.3497
10	4	29.25	42.5069
10	5	28.8333	44.78
10	6	31.1667	46.6896
10	7	30	50.0167
10	8	29.75	46.8704
15	0	21.6667	40.8371
15	1	23.5833	41.4256
15	2	23.75	42.1762
15	3	20.3333	42.6771
15	4	20.25	43.4406
15	5	20.1667	43.8862
15	6	18.4167	45.8785
15	7	20.0833	45.7129
15	8	19.5	47.4473
20	0	18.0833	39.6695
20	1	16.25	39.2715
20	2	14.5833	41.5131
20	3	10.8333	41.9394
20	4	12.5833	42.8622
20	5	11.3333	43.6014
20	6	11.9167	44.6216
20	7	13.5	44.8535
20	8	8.58333	45.6928
25	0	-2.7	35.904
25	1	-0.125	37.1366
25	2	-4.58333	40.1258
25	3	-4.5	40.537
25	4	-1.7	40.5376
25	5	-3.55556	41.6773
25	6	-4.77778	41.5826
25	7	-4.54545	42.0173
25	8	-6.88889	43.9533
