#elevation	cloud	NE	FWHM
10	0	-23	30
10	0	-21	32
10	0	-21	33
10	0	-24	29
10	0	-25	28
10	0	-24	30
10	0	-21	33
10	0	-23	30
10	0	-22	31
10	0	-22	32
10	0	-21	33
10	0	-23	33
10	1	-22	31
10	1	-22	32
10	1	-21	33
10	1	-23	30
10	1	-23	31
10	1	-22	31
10	1	-22	32
10	1	-21	33
10	1	-21	34
10	1	-21	33
10	1	-21	32
10	1	-20	33
10	2	-24	31
10	2	-23	33
10	2	-22	34
10	2	-21	34
10	2	-24	34
10	2	-24	33
10	2	-26	32
10	2	-21	32
10	2	-22	32
10	2	-23	32
10	2	-24	31
10	2	-25	30
10	3	-23	36
10	3	-24	34
10	3	-25	31
10	3	-22	35
10	3	-25	32
10	3	-23	32
10	3	-26	38
10	3	-29	29
10	3	-22	33
10	3	-24	35
10	3	-24	37
10	3	-23	34
10	4	-23	39
10	4	-24	39
10	4	-25	37
10	4	-23	34
10	4	-20	37
10	4	-26	35
10	4	-21	40
10	4	-25	35
10	4	-24	43
10	4	-26	36
10	4	-26	39
10	4	-28	36
10	5	-25	34
10	5	-26	34
10	5	-25	37
10	5	-26	34
10	5	-26	36
10	5	-23	37
10	5	-22	38
10	5	-21	47
10	5	-22	46
10	5	-24	46
10	5	-22	33
10	5	-26	40
10	6	-27	37
10	6	-27	35
10	6	-25	35
10	6	-26	47
10	6	-29	51
10	6	-30	50
10	6	-32	50
10	6	-23	40
10	6	-23	33
10	6	-28	37
10	6	-26	45
10	6	-27	44
10	7	-24	48
10	7	-29	47
10	7	-24	53
10	7	-21	42
10	7	-26	54
10	7	-26	54
10	7	-29	51
10	7	-33	49
10	7	-25	50
10	7	-26	50
10	7	-31	51
10	7	-32	52
10	8	-30	47
10	8	-30	47
10	8	-27	50
10	8	-29	48
10	8	-22	41
10	8	-23	44
10	8	-25	45
10	8	-28	46
10	8	-27	41
10	8	-26	44
10	8	-27	40
10	8	-26	41
15	0	-20	34
15	0	-20	33
15	0	-18	32
