#elevation	cloud	NE	FWHM
5	0	-28.25	25.4837
5	1	-28.0833	25.6206
5	2	-29.1667	27.8643
5	3	-29.75	28.9281
5	4	-30.75	32.5871
5	5	-35.0833	42.2167
5	6	-34.3333	39.2619
5	7	-33.25	41.9474
5	8	-34	47.4833
10	0	-22.5	31.2116
10	1	-21.5833	32.1027
10	2	-23.25	32.3574
10	3	-24.1667	33.9239
10	4	-24.25	37.581
10	5	-24	38.8115
10	6	-26.9167	42.4735
10	7	-27.1667	50.1871
10	8	-26.6667	44.6075
15	0	-18.4167	32.2581
15	1	-19.5	33.3492
15	2	-20.4167	35.1876
15	3	-18.4167	36.6481
15	4	-17.75	38.3688
15	5	-17.3333	41.1582
15	6	-16.75	45.3624
15	7	-19	47.3577
15	8	-17.5	50.9624
20	0	-16.5	30.2724
20	1	-15.4167	30.6309
20	2	-14.6667	34.3657
20	3	-13.8333	35.9896
20	4	-13.9167	40.0354
20	5	-12.8333	43.7893
20	6	-13.1667	44.3123
20	7	-12.4167	47.7258
20	8	-10.8333	54.2248
25	0	-12.4167	29.8147
25	1	-12.1667	32.8697
25	2	-12.6667	38.5724
25	3	-11.8333	41.9881
25	4	-11.5833	43.1007
25	5	-11.3333	46.0235
25	6	-10.9167	52.1768
25	7	-8.91667	54.3331
25	8	-12.0833	58.8522
30	0	-12.9167	35.8271
30	1	-12.9167	37.5489
30	2	-13	43.4818
30	3	-14.4167	49.5412
30	4	-14.3333	46.6869
30	5	-14.1667	49.1994
30	6	-16.3333	58.2716
30	7	-16	55.9494
30	8	-17.1667	61.9529
35	0	-12.5833	40.1342
35	1	-12.5	40.5422
35	2	-12	42.8067
35	3	-12	44.8098
35	4	-12.1667	48.8228
35	5	-11.6667	48.591
35	6	-13.25	50.9771
35	7	-13.4167	52.1344
35	8	-11.8333	53.9931
40	0	-5.41667	47.1734
40	1	-3.91667	46.5493
40	2	-2.08333	48.4045
40	3	-1.91667	51.3266
40	4	-3.5	53.8447
40	5	-4	51.6446
40	6	-4.66667	51.3136
40	7	-2.66667	55.3828
40	8	-7.25	58.3638
45	0	9.16667	50.3389
45	1	5.83333	50.3355
45	2	5.91667	52.1999
45	3	6.58333	54.081
45	4	7.5	53.0479
45	5	7	55.9017
45	6	7.83333	55.9181
45	7	9.75	55.5218
45	8	6.41667	56.7127
50	0	36.5833	49.1715
50	1	26.5	51.0988
50	2	38.0833	52.4492
50	3	37.75	55.2193
50	4	29.4167	54.8908
50	5	20.4167	54.2156
50	6	23.9167	55.053
50	7	23.25	57.6288
50	8	42.25	57.2909
