#elevation	cloud	NE	FWHM
10	0	28	30
10	0	26	31
10	0	26	31
10	0	28	32
10	0	29	32
10	0	28	31
10	0	26	33
10	0	28	30
10	0	27	31
10	0	27	31
10	0	26	32
10	0	26	33
10	1	27	31
10	1	26	32
10	1	26	31
10	1	28	30
10	1	27	31
10	1	27	31
10	1	26	31
10	1	26	32
10	1	26	32
10	1	26	31
10	1	26	32
10	1	25	33
10	2	28	31
10	2	27	31
10	2	26	33
10	2	26	32
10	2	27	33
10	2	28	33
10	2	30	32
10	2	26	33
10	2	27	32
10	2	27	32
10	2	28	32
10	2	29	32
10	3	26	33
10	3	27	33
10	3	29	33
10	3	26	34
10	3	29	32
10	3	27	32
10	3	29	32
10	3	26	34
10	3	28	35
10	3	27	34
10	3	28	34
10	3	27	33
10	4	27	34
10	4	28	33
10	4	29	34
10	4	27	33
10	4	25	34
10	4	29	34
10	4	25	39
10	4	30	33
10	4	28	33
10	4	30	35
10	4	29	33
10	4	30	33
10	5	30	37
10	5	32	37
10	5	30	35
10	5	30	34
10	5	30	35
10	5	28	36
10	5	26	38
10	5	25	45
10	5	27	41
10	5	28	41
10	5	28	41
10	5	29	39
10	6	31	34
10	6	31	35
10	6	30	35
10	6	29	47
10	6	31	46
10	6	33	47
10	6	35	47
10	6	28	38
10	6	29	39
10	6	32	37
10	6	30	41
10	6	31	43
10	7	28	46
10	7	30	45
10	7	29	50
10	7	27	45
10	7	30	50
10	7	34	46
10	7	33	50
10	7	37	49
10	7	31	47
10	7	31	48
10	7	34	46
10	7	32	47
10	8	35	50
10	8	27	52
10	8	31	47
10	8	32	50
10	8	26	39
10	8	28	44
10	8	28	42
10	8	30	44
10	8	31	39
10	8	30	39
10	8	31	38
10	8	30	38
15	0	24	31
15	0	25	32
15	0	22	32
15	0	22	32
15	0	22	32
15	0	22	32
15	0	22	32
15	0	22	32
15	0	22	32
15	0	23	31
15	0	22	31
15	0	22	32
15	1	21	33
15	1	24	34
15	1	21	34
15	1	22	34
15	1	24	34
15	1	25	34
15	1	25	34
15	1	24	32
15	1	23	32
15	1	22	32
15	1	23	33
15	1	23	31
15	2	20	35
15	2	21	34
15	2	23	34
15	2	24	34
15	2	23	34
15	2	25	34
15	2	25	32
15	2	24	32
15	2	25	37
