#elevation	cloud	NE	FWHM
5	0	32.1667	30.6227
5	1	32.1667	31.3449
5	2	33.1667	32.7808
5	3	33.5833	33.0353
5	4	33.4167	33.4452
5	5	38	41.5863
5	6	39.5833	42.0228
5	7	37	40.2378
5	8	38.75	46.4579
10	0	26.75	32.0949
10	1	26	32.0052
10	2	27.1667	33.5062
10	3	27.75	34.3536
10	4	28.0833	35.2739
10	5	28.75	39.0288
10	6	31.5833	42.107
10	7	32.5833	49.0425
10	8	31.25	44.254
15	0	22.3333	32.2555
15	1	23.1667	33.3517
15	2	23.6667	34.1138
15	3	22	35.4342
15	4	21.75	37.8814
15	5	21.75	38.908
15	6	21.4167	43.4252
15	7	24.4167	43.6921
15	8	24.1667	47.4719
20	0	20.0833	31.6728
20	1	19.25	31.9309
20	2	19.5	34.6157
20	3	18.4167	36.5445
20	4	19.25	38.1117
20	5	18.5833	41.0579
20	6	18.25	42.4755
20	7	18.6667	43.9867
20	8	18.75	46.6646
25	0	16.8333	30.5955
25	1	16.5833	31.0296
25	2	17.0833	34.9512
25	3	16.8333	37.1091
25	4	17.1667	37.7591
25	5	16.9167	40.8656
25	6	16.0833	40.4526
25	7	16.0833	43.2242
25	8	16.75	48.1231
30	0	14	30.4672
30	1	14.0833	33.3454
30	2	14.4167	37.1652
30	3	13.0833	40.611
30	4	14.6667	37.9956
30	5	14.75	40.1476
30	6	13.75	44.3697
30	7	13.75	43.546
30	8	14	50.0941
35	0	12.5	35.4413
35	1	11.3333	36.3261
35	2	11.1667	39.2099
35	3	11.0833	41.6093
35	4	11.4167	43.7978
35	5	10.5	44.0521
35	6	11.3333	45.1461
35	7	10.9167	45.4083
35	8	9.41667	47.5289
40	0	3.41667	46.3429
40	1	1.08333	44.1484
40	2	1	46.6324
40	3	1.08333	47.1151
40	4	2.16667	48.7177
40	5	2.33333	47.7345
40	6	3.41667	48.8936
40	7	1.41667	52.2031
40	8	5.33333	51.5542
45	0	-8.66667	47.2537
45	1	-8	49.6739
45	2	-7.58333	50.6302
45	3	-8.25	51.3907
45	4	-9.91667	52.7178
45	5	-8	51.0123
45	6	-9	51.8877
45	7	-11.6667	53.1076
45	8	-7.75	54.1456
50	0	-36	48.6707
50	1	-30.5	49.2722
50	2	-29	50.9567
50	3	-29.25	53.7122
50	4	-27	53.3456
50	5	-25.75	54.6466
50	6	-34.0833	53.344
50	7	-24.5	54.3223
50	8	-33	52.8615
