#elevation	cloud	NE	FWHM
10	0	-26	34
10	0	-25	37
10	0	-25	40
10	0	-26	34
10	0	-27	32
10	0	-25	34
10	0	-24	41
10	0	-25	34
10	0	-25	36
10	0	-25	38
10	0	-25	39
10	0	-25	39
10	1	-25	38
10	1	-25	39
10	1	-25	40
10	1	-25	34
10	1	-25	35
10	1	-25	38
10	1	-25	38
10	1	-25	40
10	1	-24	40
10	1	-25	40
10	1	-24	38
10	1	-23	41
10	2	-25	36
10	2	-24	38
10	2	-24	40
10	2	-24	40
10	2	-24	40
10	2	-24	39
10	2	-26	38
10	2	-25	38
10	2	-25	37
10	2	-25	37
10	2	-25	36
10	2	-26	34
10	3	-22	41
10	3	-24	40
10	3	-26	36
10	3	-23	40
10	3	-25	37
10	3	-25	39
10	3	-25	44
10	3	-29	31
10	3	-23	38
10	3	-22	40
10	3	-23	42
10	3	-23	40
10	4	-21	43
10	4	-22	42
10	4	-24	41
10	4	-24	39
10	4	-21	42
10	4	-28	41
10	4	-20	44
10	4	-25	39
10	4	-23	45
10	4	-26	41
10	4	-26	45
10	4	-27	41
10	5	-25	39
10	5	-27	40
10	5	-25	40
10	5	-25	39
10	5	-25	40
10	5	-22	42
10	5	-21	42
10	5	-19	50
10	5	-20	50
10	5	-22	50
10	5	-23	37
10	5	-25	45
10	6	-27	42
10	6	-27	41
10	6	-26	41
10	6	-29	52
10	6	-26	55
10	6	-30	53
10	6	-31	53
10	6	-22	44
10	6	-23	37
10	6	-28	42
10	6	-25	50
10	6	-29	50
10	7	-25	53
10	7	-30	52
10	7	-21	55
10	7	-21	46
10	7	-25	55
10	7	-27	53
10	7	-29	54
10	7	-32	54
10	7	-29	54
10	7	-26	51
10	7	-31	53
10	7	-30	54
10	8	-30	53
10	8	-30	53
10	8	-26	53
10	8	-29	53
10	8	-21	45
10	8	-22	47
10	8	-22	48
10	8	-27	52
10	8	-28	46
10	8	-26	49
10	8	-28	44
10	8	-25	46
15	0	-24	41
15	0	-24	41
15	0	-22	42
15	0	-20	43
15	0	-20	44
15	0	-20	44
15	0	-20	43
15	0	-20	44
15	0	-20	44
15	0	-22	42
15	0	-22	43
15	0	-22	43
15	1	-19	44
15	1	-22	42
15	1	-21	43
15	1	-22	43
15	1	-23	41
15	1	-24	40
15	1	-22	42
15	1	-23	41
15	1	-22	42
15	1	-21	42
15	1	-24	40
15	1	-24	40
15	2	-16	44
15	2	-18	43
15	2	-20	42
15	2	-21	42
15	2	-21	41
15	2	-21	43
15	2	-22	41
15	2	-19	44
15	2	-22	43
15	2	-22	41
15	2	-20	42
15	2	-25	42
15	3	-13	46
15	3	-20	43
15	3	-8	44
15	3	-18	44
15	3	-19	42
15	3	-19	46
15	3	-17	45
15	3	-20	43
15	3	-18	44
15	3	-19	43
15	3	-15	43
15	3	-13	44
15	4	-20	43
15	4	-18	44
15	4	-16	46
15	4	-19	43
15	4	-16	42
15	4	-16	43
15	4	-14	46
15	4	-13	44
15	4	-15	43
15	4	-18	42
15	4	-12	46
15	4	-15	43
15	5	-15	43
15	5	-11	45
15	5	-18	42
15	5	-13	44
15	5	-14	55
15	5	-9	47
15	5	-19	42
15	5	-18	46
15	5	-15	46
15	5	-14	47
15	5	-15	44
15	5	-14	47
15	6	-16	43
15	6	-18	44
15	6	-13	44
15	6	-18	42
15	6	-11	48
15	6	-17	53
15	6	-13	53
15	6	-13	53
15	6	-10	45
15	6	-10	45
15	6	-10	44
15	6	-10	49
15	7	-16	44
15	7	-13	45
15	7	-9	49
15	7	-14	47
15	7	-16	46
15	7	-9	51
15	7	-17	44
15	7	-14	47
15	7	-15	43
15	7	-15	49
15	7	-14	56
15	7	-14	55
15	8	-12	52
15	8	-16	53
15	8	-15	52
15	8	-13	52
15	8	-11	53
