#elevation	cloud	NE	FWHM
5	0	-28.8333	26.3328
5	1	-29	27.3663
5	2	-30	31.7556
5	3	-30	32.32
5	4	-30.75	37.0877
5	5	-36.25	48.2675
5	6	-34	46.56
5	7	-33.5833	47.5859
5	8	-33.4167	52.9615
10	0	-25.25	36.606
10	1	-24.6667	38.4697
10	2	-24.75	37.7922
10	3	-24.1667	39.128
10	4	-23.9167	41.9613
10	5	-23.25	43.0736
10	6	-26.9167	47.0301
10	7	-27.1667	52.8851
10	8	-26.1667	49.1994
15	0	-21.3333	42.8466
15	1	-22.25	41.6853
15	2	-20.5833	42.3458
15	3	-16.5833	43.9327
15	4	-16	43.7731
15	5	-14.5833	45.7876
15	6	-13.25	47.0841
15	7	-13.8333	48.1698
15	8	-13.4167	50.5964
20	0	-17.0833	43.3397
20	1	-14.3333	43.5957
20	2	-11.3333	44.1928
20	3	-6.83333	44.8516
20	4	-6.91667	44.8553
20	5	-5.08333	46.6056
20	6	-6.66667	46.3132
20	7	-7.83333	47.169
20	8	-0.75	49.42
25	0	10.6	43.314
25	1	8.5	43.1321
25	2	11	45.9447
25	3	11.125	45.6495
25	4	8.9	45.8148
25	5	9	46.1387
25	6	13	47.0425
25	7	13.0909	47.6808
25	8	14.4444	47.6189
