#elevation	cloud	NE	FWHM
10	0	30	37
10	0	29	39
10	0	28	39
10	0	31	40
10	0	32	37
10	0	31	36
10	0	29	41
10	0	30	37
10	0	30	38
10	0	30	39
10	0	29	40
10	0	29	41
10	1	30	39
10	1	29	40
10	1	29	40
10	1	31	37
10	1	30	38
10	1	30	39
10	1	30	39
10	1	29	40
10	1	29	40
10	1	28	39
10	1	29	39
10	1	27	41
10	2	31	39
10	2	31	39
10	2	29	41
10	2	29	41
10	2	31	41
10	2	32	41
10	2	33	39
10	2	28	41
10	2	30	41
10	2	31	40
10	2	32	39
10	2	32	38
10	3	29	41
10	3	30	41
10	3	32	40
10	3	29	42
10	3	32	40
10	3	30	40
10	3	32	40
10	3	29	42
10	3	30	43
10	3	28	42
10	3	30	41
10	3	29	41
10	4	28	42
10	4	29	41
10	4	31	42
10	4	30	41
10	4	27	42
10	4	33	41
10	4	25	44
10	4	32	40
10	4	31	40
10	4	32	42
10	4	31	39
10	4	33	40
10	5	32	44
10	5	32	45
10	5	31	41
10	5	31	42
10	5	32	42
10	5	29	44
10	5	27	46
10	5	26	49
10	5	28	49
10	5	30	47
10	5	28	48
10	5	30	46
10	6	33	43
10	6	33	43
10	6	32	43
10	6	28	53
10	6	33	54
10	6	34	54
10	6	37	54
10	6	29	46
10	6	29	47
10	6	33	46
10	6	31	49
10	6	32	50
10	7	29	52
10	7	32	54
10	7	26	53
10	7	28	50
10	7	29	53
10	7	33	56
10	7	33	58
10	7	35	58
10	7	31	52
10	7	29	53
10	7	34	54
10	7	31	53
10	8	32	54
10	8	25	50
10	8	30	54
10	8	31	54
10	8	26	47
10	8	27	49
10	8	28	46
10	8	29	49
10	8	32	46
10	8	30	47
10	8	33	45
10	8	30	46
15	0	28	39
15	0	28	41
15	0	24	40
15	0	23	39
15	0	22	39
15	0	22	39
15	0	22	39
15	0	22	39
15	0	22	39
15	0	25	38
15	0	24	39
15	0	24	39
15	1	21	41
15	1	26	41
15	1	21	40
15	1	23	41
15	1	25	42
15	1	27	42
15	1	27	42
15	1	27	39
15	1	26	39
15	1	24	39
15	1	25	39
15	1	26	38
15	2	19	42
15	2	22	43
15	2	25	42
15	2	26	43
15	2	25	43
15	2	27	42
15	2	27	41
15	2	26	41
15	2	26	45
15	2	28	42
15	2	20	42
15	2	28	41
15	3	13	42
15	3	25	42
15	3	11	40
15	3	19	44
15	3	21	42
15	3	25	42
15	3	24	42
15	3	23	44
15	3	23	42
15	3	25	44
15	3	20	44
15	3	19	44
15	4	23	45
15	4	21	44
15	4	22	44
15	4	24	44
15	4	19	44
15	4	20	43
15	4	19	43
15	4	19	42
15	4	19	45
15	4	21	46
15	4	16	46
15	4	17	45
15	5	19	42
15	5	18	42
15	5	23	42
15	5	18	43
15	5	22	54
15	5	15	45
15	5	24	45
15	5	23	44
15	5	20	46
15	5	18	44
15	5	20	41
15	5	17	45
15	6	20	45
15	6	24	45
15	6	17	43
15	6	22	44
15	6	17	44
15	6	23	52
15	6	13	54
15	6	13	52
15	6	14	49
15	6	13	49
15	6	14	47
15	6	14	47
15	7	22	45
15	7	19	45
15	7	14	48
15	7	16	47
15	7	21	46
15	7	14	48
15	7	23	45
15	7	21	43
15	7	20	44
15	7	20	45
15	7	21	54
15	7	23	53
15	8	15	52
15	8	26	51
15	8	24	52
15	8	16	52
15	8	14	51
15	8	12	50
15	8	17	51
15	8	24	50
15	8	22	46
15	8	23	46
15	8	15	44
15	8	15	50
20	0	21	38
20	0	21	38
20	0	21	38
20	0	22	38
20	0	21	39
20	0	20	38
20	0	19	39
20	0	21	39
20	0	18	37
20	0	16	38
20	0	16	37
20	0	21	38
20	1	19	40
20	1	17	38
20	1	11	36
20	1	17	38
20	1	19	38
20	1	22	39
20	1	19	39
20	1	16	38
20	1	21	40
20	1	14	35
20	1	15	35
20	1	18	36
20	2	19	40
20	2	14	41
20	2	16	39
20	2	12	39
20	2	17	41
20	2	15	42
20	2	14	41
20	2	16	40
20	2	16	42
20	2	17	43
20	2	11	41
20	2	13	42
20	3	7	40
20	3	16	42
20	3	7	38
20	3	11	40
20	3	10	37
20	3	10	41
