#elevation	cloud	NE	FWHM
5	0	30.5	35.1153
5	1	31	35.5176
5	2	33	38.1281
5	3	33.6667	38.6253
5	4	34	39.2672
5	5	38.5	49.3592
5	6	40.25	48.3856
5	7	36.9167	47.2864
5	8	38.9167	53.4244
10	0	28.1667	37.5278
10	1	27.8333	37.3452
10	2	29.3333	39.3404
10	3	29.5833	40.5278
10	4	29.5833	41.1845
10	5	29.1667	45.2383
10	6	31.5833	48.5592
10	7	30.25	54.284
10	8	30.4167	48.8254
15	0	24.3333	37.591
15	1	25.3333	38.7019
15	2	25	40.6089
15	3	21.3333	41.7682
15	4	21.1667	43.1094
15	5	20.75	44.38
15	6	18.25	47.648
15	7	20.25	46.9379
15	8	19.5833	50.2311
20	0	21.4167	36.5889
20	1	19.4167	36.5422
20	2	16.6667	40.8534
20	3	12.0833	41.8828
20	4	13.5	43.1461
20	5	11.6667	43.9536
20	6	12	45.9955
20	7	13.4167	45.9792
20	8	7.83333	48.1465
25	0	-0.2	34.6208
25	1	1.75	36.5377
25	2	-3.83333	41.4839
25	3	-4.125	41.3219
25	4	-1.4	41.9488
25	5	-4.11111	43.12
25	6	-5.11111	43.1586
25	7	-5	44.0227
25	8	-8.11111	46.4435
