#elevation	cloud	NE	FWHM
10	0	-22	27
10	0	-21	28
10	0	-20	29
10	0	-21	26
10	0	-22	24
10	0	-22	27
10	0	-20	31
10	0	-22	27
10	0	-21	27
10	0	-21	28
10	0	-21	29
10	0	-21	29
10	1	-21	28
10	1	-21	29
10	1	-20	29
10	1	-22	27
10	1	-21	28
10	1	-21	29
10	1	-21	29
10	1	-21	30
10	1	-21	31
10	1	-20	29
10	1	-20	30
10	1	-20	32
10	2	-22	29
10	2	-22	30
10	2	-21	32
10	2	-21	31
10	2	-22	32
10	2	-23	31
10	2	-24	32
10	2	-20	29
10	2	-21	28
10	2	-21	28
10	2	-22	28
10	2	-23	28
10	3	-20	33
10	3	-21	32
10	3	-23	29
10	3	-21	32
10	3	-23	30
10	3	-21	30
10	3	-24	39
10	3	-22	37
10	3	-21	31
10	3	-22	35
10	3	-23	37
10	3	-21	33
10	4	-19	40
10	4	-20	39
10	4	-23	38
10	4	-21	31
10	4	-19	35
10	4	-25	37
10	4	-20	42
10	4	-23	34
10	4	-23	43
10	4	-26	36
10	4	-25	41
10	4	-26	37
10	5	-24	34
10	5	-25	35
10	5	-23	37
10	5	-24	35
10	5	-25	36
10	5	-22	39
10	5	-21	39
10	5	-17	51
10	5	-18	50
10	5	-20	51
10	5	-21	32
10	5	-26	41
10	6	-27	38
10	6	-26	36
10	6	-25	35
10	6	-27	56
10	6	-33	62
10	6	-34	61
10	6	-35	60
10	6	-22	42
10	6	-22	31
10	6	-28	39
10	6	-22	50
10	6	-25	49
10	7	-22	59
10	7	-29	57
10	7	-22	65
10	7	-22	45
10	7	-26	65
10	7	-27	67
10	7	-33	64
10	7	-35	59
10	7	-20	64
10	7	-24	64
10	7	-35	61
10	7	-37	61
10	8	-35	59
10	8	-23	60
10	8	-26	60
10	8	-31	59
10	8	-20	44
10	8	-22	49
10	8	-26	51
10	8	-28	56
10	8	-28	46
10	8	-25	49
10	8	-28	42
10	8	-26	45
15	0	-20	30
15	0	-20	31
15	0	-19	30
15	0	-19	31
15	0	-19	30
15	0	-19	30
15	0	-19	30
15	0	-19	30
15	0	-19	30
15	0	-19	29
15	0	-19	29
15	0	-19	29
15	1	-17	32
15	1	-19	32
15	1	-18	30
15	1	-19	30
15	1	-20	31
15	1	-20	30
15	1	-20	33
15	1	-19	31
15	1	-19	32
15	1	-18	32
15	1	-19	28
15	1	-19	28
15	2	-16	35
15	2	-17	34
15	2	-19	33
15	2	-20	34
15	2	-19	33
15	2	-20	34
15	2	-19	34
15	2	-19	39
15	2	-20	35
15	2	-21	34
15	2	-17	32
15	2	-21	31
15	3	-15	33
15	3	-18	34
15	3	-14	33
15	3	-17	33
15	3	-18	33
15	3	-18	40
15	3	-17	40
15	3	-19	34
15	3	-17	41
15	3	-20	39
15	3	-17	38
15	3	-16	40
15	4	-20	35
15	4	-17	37
15	4	-16	42
15	4	-18	39
15	4	-16	36
15	4	-16	36
15	4	-15	41
15	4	-14	40
15	4	-14	38
15	4	-19	39
15	4	-14	42
15	4	-15	38
15	5	-16	35
15	5	-15	38
15	5	-17	34
15	5	-15	37
15	5	-20	65
15	5	-11	50
15	5	-19	37
15	5	-17	42
15	5	-14	43
15	5	-14	46
15	5	-15	39
15	5	-15	46
15	6	-17	35
15	6	-19	41
15	6	-14	39
15	6	-17	39
15	6	-15	44
15	6	-19	58
15	6	-16	67
15	6	-17	67
15	6	-12	52
15	6	-12	49
15	6	-14	45
15	6	-11	52
15	7	-17	40
15	7	-15	40
15	7	-16	65
15	7	-14	50
15	7	-16	48
15	7	-10	64
15	7	-18	40
15	7	-16	44
15	7	-15	37
15	7	-17	48
15	7	-20	70
15	7	-19	67
15	8	-19	68
15	8	-19	59
15	8	-16	58
15	8	-15	60
15	8	-9	61
15	8	-9	65
15	8	-17	63
15	8	-19	62
15	8	-17	39
15	8	-20	49
15	8	-10	46
15	8	-16	62
20	0	-18	29
20	0	-18	29
20	0	-18	29
20	0	-19	30
20	0	-18	29
20	0	-18	29
20	0	-17	30
20	0	-19	29
20	0	-17	29
20	0	-16	29
20	0	-16	29
20	0	-18	30
20	1	-17	32
20	1	-16	31
20	1	-14	30
20	1	-16	30
20	1	-17	31
20	1	-17	32
20	1	-17	31
20	1	-16	29
20	1	-18	30
20	1	-15	28
20	1	-16	27
20	1	-17	28
20	2	-17	32
20	2	-13	35
20	2	-15	32
20	2	-13	32
20	2	-16	34
20	2	-14	36
20	2	-16	33
20	2	-16	34
20	2	-16	32
20	2	-16	36
20	2	-13	36
20	2	-12	37
20	3	-13	36
20	3	-16	33
20	3	-13	35
20	3	-13	34
20	3	-14	33
20	3	-12	39
20	3	-13	39
20	3	-15	36
20	3	-13	37
20	3	-13	38
20	3	-10	41
20	3	-12	39
20	4	-15	34
20	4	-11	37
20	4	-13	37
20	4	-15	36
20	4	-12	35
20	4	-10	47
20	4	-10	45
20	4	-9	47
20	4	-10	45
20	4	-7	46
20	4	-11	46
20	4	-14	36
20	5	-11	43
20	5	-13	38
20	5	-14	34
20	5	-12	43
20	5	-16	38
20	5	-10	51
20	5	-10	47
20	5	-6	50
20	5	-7	52
20	5	-7	50
20	5	-4	52
20	5	-9	50
20	6	-12	38
20	6	-13	42
20	6	-11	44
20	6	-12	38
20	6	-12	47
20	6	-11	45
20	6	-9	55
20	6	-8	56
20	6	-10	48
20	6	-8	55
20	6	-10	48
20	6	-4	49
20	7	-10	42
20	7	-10	44
20	7	-11	40
20	7	-10	46
20	7	-12	42
20	7	-13	68
20	7	-10	48
20	7	-10	48
20	7	-9	54
20	7	-8	59
20	7	-10	61
20	7	-8	55
20	8	-12	68
20	8	-7	65
20	8	-5	66
20	8	-6	65
20	8	-6	64
20	8	-9	68
20	8	-6	58
20	8	-7	50
20	8	-9	47
20	8	-7	55
20	8	-5	55
20	8	-2	60
25	0	-12	29
25	0	-12	28
25	0	-12	28
25	0	-13	28
25	0	-12	29
25	0	-12	29
25	0	-13	28
25	0	-14	28
25	0	-13	28
25	0	-13	28
25	0	-13	26
25	0	-15	28
25	1	-12	29
25	1	-12	29
25	1	-13	30
25	1	-12	31
25	1	-12	33
25	1	-11	35
25	1	-11	34
25	1	-14	29
25	1	-13	30
25	1	-12	28
25	1	-12	29
25	1	-11	32
25	2	-11	35
25	2	-13	34
25	2	-13	32
25	2	-11	33
25	2	-12	33
25	2	-10	39
25	2	-11	41
25	2	-11	44
25	2	-14	35
25	2	-13	46
25	2	-11	51
25	2	-13	38
25	3	-12	36
25	3	-13	36
25	3	-13	37
25	3	-13	38
25	3	-13	36
25	3	-7	50
25	3	-9	45
25	3	-9	43
25	3	-7	45
25	3	-11	41
25	3	-13	41
25	3	-6	57
25	4	-11	47
25	4	-13	37
25	4	-5	59
25	4	-14	34
25	4	-13	42
25	4	-12	39
25	4	-11	34
25	4	-10	46
25	4	-13	37
25	4	-6	52
25	4	-7	46
25	4	-8	48
25	5	-13	37
25	5	-5	56
25	5	-8	44
25	5	-13	38
25	5	0	72
25	5	-12	41
25	5	-5	53
25	5	-8	49
25	5	-10	53
25	5	-12	41
25	5	-12	42
25	5	-12	45
25	6	-10	37
25	6	-9	51
25	6	-9	46
25	6	-4	66
25	6	-6	60
25	6	-5	53
25	6	-3	58
25	6	-12	47
25	6	-6	61
25	6	-2	70
25	6	-3	66
25	6	-12	41
25	7	-7	50
25	7	-5	52
25	7	-4	65
25	7	-6	52
25	7	-10	57
25	7	-2	60
25	7	-2	62
25	7	-3	58
25	7	-1	68
25	7	-4	59
25	7	-5	59
25	7	-11	44
25	8	-6	50
25	8	-9	51
25	8	-8	48
25	8	-12	50
25	8	-9	72
25	8	-11	72
25	8	-5	76
25	8	-4	73
25	8	-2	66
25	8	-1	69
25	8	0	70
25	8	-4	65
30	0	-12	29
30	0	-12	30
30	0	-12	30
30	0	-11	32
30	0	-11	33
30	0	-11	32
30	0	-11	34
30	0	-11	34
30	0	-11	33
30	0	-12	31
30	0	-10	28
30	0	-11	26
30	1	-11	33
30	1	-11	34
30	1	-11	34
30	1	-11	34
30	1	-12	34
30	1	-12	30
30	1	-11	32
30	1	-12	33
30	1	-12	33
30	1	-12	32
30	1	-12	30
30	1	-10	45
30	2	-10	45
30	2	-11	48
30	2	-11	47
30	2	-11	44
30	2	-11	40
30	2	-12	46
30	2	-10	35
30	2	-10	35
30	2	-10	46
30	2	-12	35
30	2	-12	37
30	2	-11	38
30	3	-8	56
30	3	-14	52
30	3	-9	46
30	3	-9	60
30	3	-17	64
30	3	-7	58
30	3	-9	46
30	3	-14	64
30	3	-5	66
30	3	-10	34
30	3	-12	33
30	3	-11	36
30	4	-12	34
30	4	-13	50
30	4	-13	39
30	4	-10	37
30	4	-10	38
30	4	-12	40
30	4	0	74
30	4	2	73
30	4	-11	39
30	4	-12	37
30	4	-11	37
30	4	-10	48
30	5	-12	50
30	5	-13	44
30	5	-10	56
30	5	-13	39
30	5	-12	47
30	5	-11	45
30	5	-7	59
30	5	-1	72
30	5	-12	56
30	5	-11	41
30	5	-12	42
30	5	-11	45
30	6	-7	66
30	6	-13	47
30	6	-15	71
30	6	-2	73
30	6	-5	63
30	6	-4	65
30	6	-3	75
30	6	-15	63
30	6	-13	56
30	6	-12	52
30	6	-15	66
30	6	-13	53
30	7	-4	81
30	7	-10	65
30	7	-14	50
30	7	-11	59
30	7	-12	60
30	7	-11	62
30	7	-10	66
30	7	-12	54
30	7	-10	59
30	7	-12	55
30	7	-13	59
