#elevation	cloud	NE	FWHM
5	0	-25.4167	22.8692
5	1	-25.3333	23.3666
5	2	-27	26.4023
5	3	-27.3333	28.2209
5	4	-29.3333	33.1876
5	5	-36.8333	49.4672
5	6	-35.3333	46.5403
5	7	-34.75	48.2433
5	8	-34.5833	58.1478
10	0	-21.1667	27.7188
10	1	-20.75	29.2788
10	2	-21.8333	29.8775
10	3	-21.8333	33.3067
10	4	-22.5	37.8979
10	5	-22.1667	40.538
10	6	-27.1667	47.7956
10	7	-27.6667	61.1726
10	8	-26.5	52.0753
15	0	-19.1667	29.9235
15	1	-18.9167	30.7883
15	2	-19	34.0514
15	3	-17.1667	36.6447
15	4	-16.1667	38.6491
15	5	-15.6667	43.4492
15	6	-15.25	50.05
15	7	-16.0833	52.3792
15	8	-15.5	58.2452
20	0	-17.6667	29.2532
20	1	-16.3333	29.9569
20	2	-14.75	34.1309
20	3	-13.0833	36.7514
20	4	-11.4167	41.2422
20	5	-9.91667	46.0616
20	6	-10	47.4491
20	7	-10.0833	51.2795
20	8	-6.75	60.4656
25	0	-12.8333	28.0936
25	1	-12.0833	30.8261
25	2	-11.9167	38.8448
25	3	-10.5	42.5353
25	4	-10.25	44.0312
25	5	-9.16667	48.5103
25	6	-6.75	55.5893
25	7	-5	57.5268
25	8	-5.91667	64.304
30	0	-11.25	31.0913
30	1	-11.4167	33.8674
30	2	-10.9167	41.6273
30	3	-10.4167	52.5397
30	4	-9.33333	47.3973
30	5	-10.4167	50.4959
30	6	-9.75	63.0661
30	7	-10.8333	61.2849
30	8	-7.91667	69.0109
35	0	-10.4167	37.0146
35	1	-9.83333	37.2514
35	2	-9.5	40.5494
35	3	-9.58333	43.7255
35	4	-9.75	51.031
35	5	-9.91667	50.547
35	6	-11.0833	54.2141
35	7	-11.5833	56.3656
35	8	-10.1667	58.7161
40	0	-3.83333	44.6766
40	1	-2.5	43.5172
40	2	-1	47.3075
40	3	-0.666667	52.415
40	4	-2.75	56.1048
40	5	-3.66667	52.7218
40	6	-4.41667	52.4468
40	7	0.0833333	58.7495
40	8	-5.5	64.0482
45	0	10.1667	48.9277
45	1	6.5	49.4242
45	2	7.91667	52.6379
45	3	7.91667	55.4782
45	4	8.33333	54.3208
45	5	8.25	58.51
45	6	8.83333	58.4993
45	7	11.9167	57.9907
45	8	7.83333	59.4797
50	0	38.8333	49.2621
50	1	27.75	51.355
50	2	41.1667	53.5926
50	3	41.6667	56.6708
50	4	32.4167	56.9539
50	5	22.5	58.1571
50	6	27.5	58.6892
50	7	28	61.7488
50	8	47.9167	59.5294
