#elevation	cloud	NE	FWHM
10	0	26	29
10	0	25	29
10	0	25	28
10	0	26	29
10	0	27	29
10	0	27	28
10	0	25	30
10	0	26	29
10	0	26	28
10	0	25	29
10	0	25	29
10	0	26	31
10	1	25	29
10	1	25	29
10	1	25	29
10	1	26	28
10	1	26	28
10	1	26	29
10	1	25	29
10	1	25	29
10	1	25	29
10	1	25	29
10	1	25	29
10	1	24	30
10	2	27	29
10	2	26	29
10	2	25	30
10	2	25	30
10	2	26	31
10	2	27	30
10	2	28	29
10	2	25	30
10	2	26	30
10	2	26	29
10	2	27	30
10	2	27	29
10	3	26	32
10	3	26	31
10	3	28	31
10	3	26	31
10	3	28	30
10	3	26	30
10	3	27	31
10	3	25	32
10	3	27	32
10	3	27	33
10	3	27	31
10	3	26	31
10	4	27	33
10	4	27	32
10	4	29	33
10	4	26	30
10	4	25	32
10	4	28	33
10	4	25	39
10	4	28	31
10	4	28	32
10	4	29	32
10	4	28	32
10	4	29	32
10	5	30	36
10	5	31	37
10	5	29	33
10	5	30	33
10	5	29	32
10	5	28	35
10	5	27	38
10	5	26	48
10	5	27	45
10	5	28	43
10	5	28	42
10	5	30	40
10	6	31	33
10	6	31	35
10	6	30	35
10	6	30	53
10	6	35	53
10	6	36	54
10	6	38	54
10	6	28	39
10	6	29	38
10	6	32	38
10	6	30	45
10	6	32	46
10	7	29	51
10	7	31	52
10	7	33	57
10	7	27	48
10	7	34	57
10	7	36	54
10	7	37	57
10	7	41	57
10	7	33	55
10	7	34	54
10	7	35	53
10	7	35	54
10	8	40	57
10	8	29	59
10	8	34	54
10	8	34	57
10	8	26	40
10	8	28	46
10	8	29	44
10	8	32	50
10	8	31	41
10	8	30	42
10	8	32	39
10	8	30	40
15	0	24	29
15	0	25	29
15	0	23	29
15	0	23	30
15	0	23	30
15	0	23	30
15	0	23	30
15	0	23	30
15	0	23	30
15	0	23	29
15	0	23	29
15	0	23	29
15	1	23	32
15	1	25	32
15	1	23	32
15	1	24	32
15	1	24	32
15	1	25	31
15	1	25	31
15	1	24	30
15	1	24	29
15	1	23	29
15	1	24	30
15	1	23	29
15	2	22	32
15	2	23	32
15	2	24	32
15	2	25	33
15	2	24	33
15	2	25	32
15	2	25	29
15	2	25	30
15	2	25	35
15	2	25	32
15	2	23	33
15	2	25	30
15	3	19	36
15	3	24	31
15	3	18	35
15	3	22	35
15	3	23	33
15	3	24	31
15	3	24	32
15	3	24	34
15	3	22	33
15	3	25	35
15	3	22	35
15	3	22	36
15	4	24	36
15	4	23	36
15	4	23	35
15	4	24	35
15	4	21	37
15	4	23	32
15	4	21	34
15	4	21	34
15	4	21	39
15	4	24	43
15	4	22	40
15	4	21	39
15	5	22	32
15	5	21	34
15	5	23	32
15	5	21	34
15	5	23	55
15	5	19	45
15	5	25	38
15	5	24	35
15	5	22	39
15	5	22	40
15	5	23	34
15	5	20	45
15	6	22	37
15	6	25	38
15	6	20	37
15	6	23	37
15	6	21	43
15	6	25	51
15	6	23	56
15	6	23	56
15	6	21	49
15	6	20	49
15	6	21	45
15	6	18	47
15	7	24	38
15	7	22	39
15	7	27	55
15	7	22	47
15	7	24	44
15	7	25	54
15	7	24	38
15	7	23	38
15	7	22	36
15	7	24	44
15	7	30	57
15	7	30	56
15	8	27	59
15	8	27	59
15	8	26	53
15	8	23	53
15	8	20	53
15	8	19	54
15	8	27	58
15	8	30	57
15	8	24	39
15	8	25	44
15	8	20	39
15	8	25	55
20	0	22	30
20	0	22	30
20	0	22	30
20	0	22	30
20	0	22	29
20	0	22	30
20	0	21	29
20	0	22	30
20	0	20	30
20	0	20	29
20	0	19	30
20	0	22	29
20	1	22	31
20	1	20	30
20	1	19	32
20	1	20	30
20	1	22	30
20	1	22	30
20	1	21	30
20	1	20	31
