#elevation	cloud	NE	FWHM
5	0	29.9167	28.1839
5	1	29.5833	29.0961
5	2	31.25	30.5478
5	3	32.0833	31.3036
5	4	31.8333	32.4589
5	5	38.75	45.681
5	6	40.5833	45.9393
5	7	37.6667	43.1895
5	8	40.9167	53.1813
10	0	25	29.435
10	1	24.6667	28.9209
10	2	25.8333	30.6866
10	3	26.75	32.4435
10	4	27.25	34.0465
10	5	28.5	40.1269
10	6	32.8333	45.5796
10	7	36.1667	56.0833
10	8	33.5	48.524
15	0	22.5833	29.5874
15	1	23.5833	30.5314
15	2	24.0833	32.0468
15	3	22.4167	33.9497
15	4	22.4167	37.4344
15	5	22.5	39.5685
15	6	22.25	46.6351
15	7	25.9167	47.0115
15	8	25.6667	52.7123
20	0	21.0833	28.5102
20	1	20.25	29.1018
20	2	20.0833	32.4666
20	3	18.6667	35.8388
20	4	19.9167	37.3921
20	5	19.0833	41.8131
20	6	18.75	44.7837
20	7	19.8333	46.8811
20	8	19.75	51.342
25	0	16.1667	28.5161
25	1	16.1667	29.1362
25	2	16.75	34.176
25	3	16.6667	36.8951
25	4	17	37.8043
25	5	16.75	42.0932
25	6	15.75	41.6933
25	7	16	45.6052
25	8	17.0833	53.0346
30	0	12.75	27.2794
30	1	13.1667	30.6458
30	2	13.9167	35.927
30	3	12.6667	40.9502
30	4	14.1667	37.6962
30	5	14.6667	41.0152
30	6	13.0833	47.355
30	7	13.25	45.9692
30	8	13.3333	56.0855
35	0	11.5	32.8037
35	1	10.1667	32.9545
35	2	10.4167	37.072
35	3	10.8333	41.0244
35	4	10.9167	44.95
35	5	10.25	44.8089
35	6	11.0833	47.1575
35	7	10.5	47.7842
35	8	9.25	49.7125
40	0	3.08333	44.3546
40	1	1.16667	40.2782
40	2	0.833333	44.0066
40	3	1.58333	45.7675
40	4	2.41667	48.6707
40	5	2.41667	47.6594
40	6	3.41667	49.317
40	7	1	53.8431
40	8	4.91667	54.3515
45	0	-6.16667	44.3471
45	1	-6.33333	47.6795
45	2	-6.33333	49.0918
45	3	-7.25	51.0188
45	4	-8.66667	52.9323
45	5	-6.41667	50.6549
45	6	-8	52.3713
45	7	-11.4167	53.9792
45	8	-8	55.9114
50	0	-34	47.341
50	1	-28.4167	48.3667
50	2	-27.5833	51.238
50	3	-28.25	55.2736
50	4	-25.9167	54.4388
50	5	-24.75	56.0364
50	6	-33.1667	54.9181
50	7	-25.25	56.7986
50	8	-33.8333	54.4166
