#elevation	cloud	NE	FWHM
10	0	-26	36
10	0	-25	38
10	0	-24	41
10	0	-25	37
10	0	-26	35
10	0	-26	36
10	0	-24	42
10	0	-26	36
10	0	-25	38
10	0	-25	39
10	0	-25	41
10	0	-23	41
10	1	-25	39
10	1	-25	40
10	1	-24	42
10	1	-26	36
10	1	-25	38
10	1	-25	39
10	1	-25	39
10	1	-24	41
10	1	-24	42
10	1	-24	40
10	1	-24	40
10	1	-23	42
10	2	-26	38
10	2	-25	40
10	2	-23	42
10	2	-23	43
10	2	-23	43
10	2	-24	41
10	2	-27	41
10	2	-23	40
10	2	-24	39
10	2	-24	39
10	2	-25	39
10	2	-26	37
10	3	-22	44
10	3	-23	42
10	3	-27	40
10	3	-21	42
10	3	-25	40
10	3	-25	41
10	3	-24	47
10	3	-30	35
10	3	-24	39
10	3	-21	42
10	3	-23	45
10	3	-22	43
10	4	-20	44
10	4	-21	44
10	4	-23	44
10	4	-22	42
10	4	-21	44
10	4	-29	47
10	4	-20	50
10	4	-25	43
10	4	-25	49
10	4	-29	46
10	4	-28	49
10	4	-29	46
10	5	-26	43
10	5	-29	44
10	5	-26	44
10	5	-27	42
10	5	-27	43
10	5	-23	46
10	5	-22	45
10	5	-19	58
10	5	-20	57
10	5	-24	57
10	5	-23	40
10	5	-29	50
10	6	-29	46
10	6	-30	45
10	6	-29	44
10	6	-30	60
10	6	-24	65
10	6	-33	62
10	6	-33	63
10	6	-23	50
10	6	-24	39
10	6	-30	47
10	6	-27	57
10	6	-30	57
10	7	-29	61
10	7	-31	61
10	7	-26	66
10	7	-24	54
10	7	-27	65
10	7	-27	64
10	7	-25	66
10	7	-35	67
10	7	-29	66
10	7	-31	60
10	7	-30	65
10	7	-31	67
10	8	-28	67
10	8	-28	67
10	8	-23	64
10	8	-31	65
10	8	-20	51
10	8	-22	54
10	8	-25	56
10	8	-28	59
10	8	-30	52
10	8	-30	55
10	8	-30	49
10	8	-29	52
15	0	-23	42
15	0	-23	42
15	0	-20	44
15	0	-18	45
15	0	-18	45
15	0	-18	45
15	0	-17	46
15	0	-17	45
15	0	-17	46
15	0	-20	44
15	0	-20	45
15	0	-20	44
15	1	-15	45
15	1	-19	43
15	1	-17	44
15	1	-18	43
15	1	-20	43
15	1	-22	42
15	1	-19	44
15	1	-22	42
15	1	-21	43
15	1	-19	44
15	1	-23	42
15	1	-23	41
15	2	-11	45
15	2	-13	44
15	2	-16	44
15	2	-19	44
15	2	-18	43
15	2	-19	44
15	2	-21	43
15	2	-17	47
15	2	-21	45
15	2	-21	43
15	2	-17	43
15	2	-23	43
15	3	-9	45
15	3	-18	43
15	3	-5	45
15	3	-14	43
15	3	-16	44
15	3	-17	49
15	3	-15	48
15	3	-16	44
15	3	-15	50
15	3	-19	46
15	3	-13	46
15	3	-11	47
15	4	-18	44
15	4	-16	46
15	4	-15	48
15	4	-18	46
15	4	-15	45
15	4	-13	46
15	4	-11	49
15	4	-11	48
15	4	-13	47
15	4	-17	48
15	4	-11	49
15	4	-13	46
15	5	-12	44
15	5	-8	47
15	5	-15	44
15	5	-10	43
15	5	-19	70
15	5	-8	53
15	5	-18	43
15	5	-16	48
15	5	-14	50
15	5	-12	51
15	5	-13	46
15	5	-13	53
15	6	-14	43
15	6	-19	48
15	6	-10	47
15	6	-18	45
15	6	-12	52
15	6	-24	63
15	6	-16	67
15	6	-12	66
15	6	-12	52
15	6	-10	49
15	6	-10	48
15	6	-8	55
15	7	-18	46
15	7	-13	47
15	7	-8	56
15	7	-13	53
15	7	-15	51
15	7	-7	58
15	7	-19	47
15	7	-13	51
15	7	-14	43
15	7	-15	53
15	7	-7	68
15	7	-20	67
15	8	-7	62
15	8	-10	65
15	8	-15	63
15	8	-10	62
15	8	-9	62
15	8	-8	62
15	8	-8	61
15	8	-8	63
15	8	-18	46
15	8	-17	54
15	8	-7	50
15	8	-8	58
20	0	-15	46
20	0	-16	46
20	0	-17	45
20	0	-18	44
20	0	-17	44
20	0	-16	45
20	0	-13	46
20	0	-18	44
20	0	-12	45
20	0	-10	45
20	0	-10	46
20	0	-16	44
20	1	-12	44
20	1	-10	45
20	1	-3	46
20	1	-12	45
20	1	-15	45
20	1	-16	44
20	1	-13	44
20	1	-11	45
20	1	-16	44
20	1	-9	45
20	1	-11	46
20	1	-15	45
20	2	-13	45
20	2	-5	47
20	2	-8	44
20	2	-4	45
20	2	-9	46
20	2	-7	45
20	2	-10	47
20	2	-10	47
20	2	-10	45
20	2	-12	44
20	2	-1	47
20	2	-5	47
20	3	-2	46
20	3	-12	44
20	3	-1	47
20	3	-4	46
20	3	-3	46
20	3	-4	49
20	3	-8	48
20	3	-9	45
20	3	-5	45
20	3	-4	46
20	3	0	47
20	3	1	47
20	4	-8	47
20	4	-2	45
20	4	-6	45
20	4	-10	44
20	4	-5	46
20	4	-2	46
20	4	-3	48
20	4	4	50
20	4	-1	48
20	4	1	52
20	4	-6	49
20	4	-6	46
20	5	1	48
20	5	-5	46
20	5	-10	44
20	5	-5	49
20	5	-11	48
20	5	-7	51
20	5	-5	50
20	5	1	52
20	5	1	53
20	5	0	52
20	5	9	51
20	5	-3	53
20	6	-1	47
20	6	-3	47
20	6	-6	51
20	6	-6	46
20	6	-10	49
20	6	-7	47
20	6	-5	58
20	6	-6	58
20	6	-5	51
20	6	-6	55
20	6	-7	48
20	6	4	55
20	7	-6	48
20	7	-4	47
20	7	-2	46
20	7	-3	51
20	7	-10	48
20	7	-7	62
20	7	-10	51
20	7	-8	50
20	7	-7	54
20	7	-7	58
20	7	-7	58
20	7	0	56
20	8	-6	60
20	8	-6	62
20	8	-4	61
20	8	-6	62
20	8	5	55
20	8	-2	58
20	8	6	52
20	8	4	49
20	8	-5	52
20	8	1	54
20	8	5	53
20	8	9	54
25	0	28	46
25	0	13	46
25	0	6	46
25	0	15	46
25	0	8	45
25	0	1	45
25	0	28	48
25	0	19	48
25	0	7	45
25	0	-3	46
25	1	16	46
25	1	9	46
25	1	3	46
25	1	20	46
25	1	12	45
25	1	-2	46
25	1	6	47
25	1	19	48
25	2	11	46
25	2	15	49
25	2	30	48
25	2	6	45
25	2	4	47
25	2	19	45
25	2	7	47
25	2	7	48
25	2	8	49
25	2	16	51
25	2	19	50
25	2	20	48
25	3	11	46
25	3	19	47
25	3	26	49
25	3	5	51
25	3	4	48
25	3	8	47
25	3	18	47
25	3	22	48
25	4	18	49
25	4	15	50
25	4	7	48
25	4	9	48
25	4	3	47
25	4	8	46
25	4	18	47
25	4	18	49
25	4	11	51
25	4	7	51
25	5	21	48
25	5	9	48
25	5	3	47
25	5	26	50
25	5	9	49
25	5	7	47
25	5	4	48
25	5	7	48
25	5	20	48
25	6	8	47
25	6	26	49
25	6	7	50
25	6	16	49
25	6	8	55
25	6	15	49
25	6	35	55
25	6	19	56
25	6	13	48
25	7	16	50
25	7	21	49
25	7	16	51
25	7	9	49
25	7	22	53
25	7	20	54
25	7	14	54
25	7	28	58
25	7	15	52
25	7	9	50
25	7	7	48
25	8	8	49
25	8	13	48
25	8	19	46
25	8	33	57
25	8	22	58
25	8	17	58
25	8	10	59
25	8	14	60
25	8	25	50
5	0	-28	35
5	0	-31	26
5	0	-27	33
5	0	-27	34
5	0	-29	30
5	0	-31	26
5	0	-31	27
5	0	-32	24
5	0	-31	27
5	0	-31	25
5	0	-31	28
5	0	-28	33
5	1	-32	30
5	1	-30	32
5	1	-30	33
5	1	-32	29
5	1	-30	27
5	1	-30	30
5	1	-27	35
5	1	-29	32
5	1	-31	29
5	1	-28	30
5	1	-29	33
5	1	-31	29
5	2	-29	34
5	2	-28	34
5	2	-32	27
5	2	-28	42
5	2	-31	40
5	2	-34	40
5	2	-30	33
5	2	-32	30
5	2	-34	31
5	2	-28	36
5	2	-33	42
5	2	-37	39
5	3	-28	38
5	3	-29	42
5	3	-33	32
5	3	-30	37
5	3	-31	40
5	3	-36	39
5	3	-33	29
5	3	-30	35
5	3	-29	37
5	3	-33	36
5	3	-32	40
5	3	-34	34
5	4	-35	41
5	4	-31	40
5	4	-33	39
5	4	-37	40
5	4	-32	33
5	4	-28	41
5	4	-35	37
5	4	-31	48
5	4	-38	42
5	4	-38	47
5	4	-30	46
5	4	-28	44
5	5	-45	62
5	5	-31	62
5	5	-31	58
5	5	-36	38
5	5	-45	59
5	5	-37	52
5	5	-47	61
5	5	-29	63
5	5	-31	63
5	5	-44	56
5	5	-36	40
5	5	-29	63
5	6	-31	66
5	6	-32	66
5	6	-36	62
5	6	-33	43
5	6	-32	43
5	6	-38	46
5	6	-33	47
5	6	-36	45
