#elevation	cloud	NE	FWHM
5	0	-29.3333	31.3714
5	1	-29.8333	32.8342
5	2	-30.9167	37.7061
5	3	-31.25	38.8373
5	4	-32.25	44.2003
5	5	-36.1667	58.9696
5	6	-32.5833	57.3905
5	7	-34.6667	57.2858
5	8	-29.5	65.3548
10	0	-24.4167	40.1425
10	1	-23.5833	41.4397
10	2	-23.8333	41.9315
10	3	-22.5	44.0965
10	4	-23.25	46.9042
10	5	-23	49.0654
10	6	-27.5833	55.3564
10	7	-27.3333	64.6407
10	8	-26	58.3059
15	0	-17.3333	44.7558
15	1	-18.5	43.5144
15	2	-17	44.4344
15	3	-12.5	45.6445
15	4	-12.6667	46.2718
15	5	-10.8333	49.0934
15	6	-12.25	52.7052
15	7	-11.0833	53.3339
15	8	-10.6667	58.935
20	0	-12.3333	45.4267
20	1	-9.66667	44.5066
20	2	-6.41667	45.597
20	3	-3.33333	46.1203
20	4	-3.08333	46.1546
20	5	-2.25	48.8288
20	6	-3.33333	49.8807
20	7	-5.66667	51.7349
20	8	0.333333	55.0886
25	0	12.6	49.5369
25	1	11	49.0561
25	2	14.75	49.1952
25	3	14.875	49.4204
25	4	11.5	50.3339
25	5	12.3333	48.7864
25	6	16.6667	52.3301
25	7	16.0909	52.9021
25	8	17.8889	54.4079
