#elevation	cloud	NE	FWHM
10	0	32	39
10	0	31	40
10	0	29	40
10	0	32	41
10	0	33	39
10	0	32	38
10	0	30	42
10	0	32	38
10	0	32	39
10	0	31	40
10	0	30	41
10	0	30	43
10	1	31	40
10	1	31	41
10	1	30	41
10	1	32	38
10	1	31	39
10	1	31	40
10	1	31	40
10	1	30	40
10	1	30	41
10	1	30	41
10	1	30	40
10	1	28	42
10	2	33	41
10	2	31	41
10	2	30	42
10	2	28	42
10	2	30	42
10	2	32	43
10	2	34	39
10	2	29	42
10	2	31	41
10	2	32	40
10	2	32	40
10	2	33	40
10	3	29	42
10	3	30	41
10	3	33	42
10	3	28	44
10	3	33	41
10	3	31	40
10	3	33	41
10	3	29	44
10	3	30	45
10	3	28	44
10	3	31	43
10	3	29	42
10	4	28	44
10	4	29	43
10	4	31	44
10	4	30	43
10	4	27	43
10	4	33	44
10	4	25	47
10	4	33	42
10	4	31	42
10	4	33	45
10	4	33	42
10	4	34	42
10	5	32	47
10	5	34	47
10	5	32	43
10	5	32	45
10	5	32	44
10	5	28	46
10	5	27	49
10	5	26	58
10	5	28	56
10	5	29	56
10	5	28	50
10	5	31	51
10	6	34	45
10	6	34	45
10	6	34	46
10	6	27	62
10	6	32	63
10	6	35	63
10	6	38	65
10	6	30	52
10	6	30	49
10	6	33	48
10	6	32	57
10	6	33	58
10	7	30	63
10	7	32	65
10	7	29	66
10	7	28	57
10	7	31	64
10	7	35	66
10	7	36	68
10	7	42	70
10	7	32	63
10	7	30	63
10	7	32	63
10	7	28	65
10	8	32	65
10	8	27	60
10	8	30	63
10	8	29	64
10	8	27	50
10	8	28	53
10	8	29	53
10	8	32	59
10	8	33	52
10	8	32	55
10	8	35	51
10	8	31	51
15	0	28	41
15	0	28	42
15	0	21	41
15	0	20	42
15	0	19	42
15	0	20	41
15	0	19	42
15	0	20	42
15	0	19	42
15	0	23	40
15	0	22	41
15	0	22	40
15	1	20	43
15	1	26	43
15	1	20	43
15	1	23	43
15	1	26	44
15	1	27	43
15	1	26	44
15	1	27	41
15	1	26	41
15	1	23	41
15	1	24	41
15	1	25	40
15	2	18	44
15	2	20	44
15	2	23	44
15	2	25	45
15	2	24	44
15	2	26	43
15	2	27	42
15	2	26	42
15	2	25	47
15	2	27	44
15	2	18	45
15	2	28	42
15	3	10	46
15	3	24	45
15	3	8	45
15	3	17	45
15	3	20	45
15	3	24	43
15	3	23	43
15	3	21	45
15	3	22	44
15	3	24	46
15	3	19	46
15	3	17	45
15	4	22	47
15	4	20	47
15	4	20	46
15	4	22	46
15	4	17	46
15	4	19	45
15	4	18	45
15	4	18	43
15	4	18	48
15	4	21	50
15	4	14	50
15	4	16	50
15	5	18	45
15	5	16	43
15	5	20	44
15	5	16	44
15	5	22	65
15	5	13	51
15	5	23	46
15	5	23	46
15	5	18	48
15	5	16	49
15	5	20	45
15	5	16	50
15	6	18	48
15	6	25	48
15	6	16	46
15	6	22	47
15	6	16	48
15	6	21	64
15	6	7	68
15	6	6	64
15	6	13	55
15	6	12	55
15	6	14	51
15	6	12	54
15	7	22	49
15	7	18	48
15	7	11	56
15	7	15	51
15	7	21	51
15	7	18	60
15	7	23	48
15	7	20	46
15	7	19	46
15	7	21	51
15	7	22	64
15	7	21	65
15	8	13	62
15	8	30	59
15	8	23	63
15	8	22	63
15	8	10	62
15	8	8	60
15	8	21	59
15	8	25	59
15	8	21	48
15	8	25	51
15	8	14	47
15	8	20	59
20	0	19	40
20	0	19	40
20	0	19	40
20	0	19	40
20	0	19	40
20	0	17	39
20	0	16	40
20	0	19	41
20	0	16	39
20	0	14	39
20	0	13	39
20	0	19	41
20	1	17	43
20	1	16	39
20	1	8	42
20	1	15	41
20	1	18	41
20	1	20	41
20	1	17	40
20	1	13	40
20	1	19	41
20	1	12	36
20	1	13	38
20	1	16	39
20	2	16	43
20	2	13	44
20	2	14	40
20	2	11	41
20	2	14	44
20	2	13	45
20	2	12	44
20	2	13	45
20	2	12	45
20	2	15	45
20	2	7	44
20	2	10	46
20	3	3	45
20	3	13	46
20	3	4	43
20	3	8	44
20	3	8	41
20	3	8	46
20	3	12	47
20	3	10	50
20	3	9	47
20	3	8	47
20	3	6	45
20	3	6	45
20	4	13	43
20	4	10	46
20	4	14	45
20	4	17	44
20	4	12	41
20	4	10	47
20	4	8	49
20	4	7	46
20	4	5	47
20	4	7	46
20	4	12	49
20	4	10	45
20	5	0	50
20	5	4	51
20	5	13	45
20	5	14	43
20	5	16	45
20	5	13	50
20	5	14	46
20	5	5	50
20	5	6	47
20	5	6	49
20	5	3	47
20	5	13	45
20	6	2	46
20	6	4	48
20	6	15	44
20	6	10	46
20	6	14	52
20	6	12	49
20	6	12	52
20	6	8	54
20	6	11	50
20	6	8	55
20	6	11	49
20	6	4	49
20	7	12	45
20	7	9	46
20	7	4	47
20	7	13	45
20	7	14	48
20	7	6	64
20	7	13	51
20	7	11	50
20	7	11	52
20	7	10	54
20	7	10	57
20	7	8	50
20	8	8	57
20	8	6	60
20	8	6	60
20	8	5	61
20	8	4	51
20	8	8	56
20	8	1	49
20	8	1	49
20	8	10	49
20	8	8	52
20	8	4	51
20	8	0	51
25	0	-16	41
25	0	-3	40
25	0	3	39
25	0	-5	40
25	0	1	39
25	0	6	39
25	0	-19	41
25	0	-10	41
25	0	2	36
25	0	8	36
25	1	-6	42
25	1	1	42
25	1	6	41
25	1	-10	44
25	1	-4	44
25	1	7	39
25	1	3	39
25	1	-9	42
25	2	-4	44
25	2	-10	41
25	2	-23	41
25	2	3	44
25	2	2	42
25	2	-7	45
25	2	-5	49
25	2	-7	51
25	2	-5	43
25	2	-12	48
25	2	-9	46
25	2	-13	42
25	3	-6	43
25	3	-16	44
25	3	-22	45
25	3	5	45
25	3	0	50
25	3	-1	45
25	3	-16	47
25	3	-9	45
25	4	-13	44
