#elevation	cloud	NE	FWHM
5	0	32.1667	36.8646
5	1	33.25	37.5278
5	2	35.1667	40.214
5	3	35.9167	41.1248
5	4	35.5	41.5251
5	5	39.75	58.3888
5	6	41.9167	56.4616
5	7	39.0833	54.1187
5	8	40.3333	64.6568
10	0	29.8333	39.7754
10	1	29.1667	39.8434
10	2	30.4167	41.5903
10	3	30.4167	42.4392
10	4	30.3333	43.6129
10	5	30.25	49.6957
10	6	32.1667	55.5698
10	7	31.6667	65.5076
10	8	31.25	57.2414
15	0	22.5833	40.2606
15	1	24.5833	40.7001
15	2	24.1667	42.9583
15	3	19.8333	44.4344
15	4	20	46.5385
15	5	20.0833	48.4252
15	6	17.75	53.9738
15	7	19.9167	53.7424
15	8	19.75	58.831
20	0	18.75	39.3362
20	1	16.9167	39.8518
20	2	13.9167	43.8501
20	3	9.08333	45.6061
20	4	11.5	46.422
20	5	10	48.1603
20	6	10.1667	50.8945
20	7	10.5	52.2606
20	8	6.16667	55.183
25	0	-3.3	39.4208
25	1	-1.125	41.5301
25	2	-7.08333	45.147
25	3	-7.625	45.8503
25	4	-5	45.9619
25	5	-7.55556	47.4775
25	6	-8.66667	48.3207
25	7	-7.81818	49.1158
25	8	-10.1111	54.1202
