#elevation	cloud	NE	FWHM
10	0	-24	27
10	0	-22	29
10	0	-22	29
10	0	-23	26
10	0	-24	25
10	0	-24	28
10	0	-23	32
10	0	-24	27
10	0	-23	28
10	0	-23	29
10	0	-23	30
10	0	-24	31
10	1	-23	29
10	1	-23	28
10	1	-22	29
10	1	-24	27
10	1	-23	28
10	1	-23	29
10	1	-23	29
10	1	-23	30
10	1	-23	32
10	1	-22	29
10	1	-23	31
10	1	-22	32
10	2	-25	30
10	2	-24	31
10	2	-23	32
10	2	-23	33
10	2	-24	34
10	2	-25	34
10	2	-27	34
10	2	-22	30
10	2	-23	30
10	2	-23	31
10	2	-23	30
10	2	-24	30
10	3	-24	38
10	3	-24	35
10	3	-26	31
10	3	-23	36
10	3	-26	32
10	3	-23	32
10	3	-28	43
10	3	-28	28
10	3	-23	32
10	3	-25	37
10	3	-26	40
10	3	-24	35
10	4	-26	43
10	4	-26	41
10	4	-27	40
10	4	-23	34
10	4	-22	38
10	4	-27	40
10	4	-25	50
10	4	-27	37
10	4	-27	50
10	4	-29	40
10	4	-29	45
10	4	-29	40
10	5	-26	37
10	5	-28	39
10	5	-27	40
10	5	-28	37
10	5	-28	39
10	5	-25	42
10	5	-24	43
10	5	-26	66
10	5	-26	64
10	5	-28	63
10	5	-23	34
10	5	-27	50
10	6	-30	41
10	6	-29	40
10	6	-28	38
10	6	-39	75
10	6	-44	77
10	6	-44	76
10	6	-45	78
10	6	-26	48
10	6	-24	32
10	6	-31	43
10	6	-30	61
10	6	-30	62
10	7	-25	76
10	7	-39	75
10	7	-40	81
10	7	-22	56
10	7	-40	81
10	7	-41	84
10	7	-42	82
10	7	-43	75
10	7	-40	77
10	7	-31	81
10	7	-42	74
10	7	-44	81
10	8	-43	76
10	8	-43	76
10	8	-41	75
10	8	-43	73
10	8	-24	52
10	8	-28	63
10	8	-31	67
10	8	-39	74
10	8	-31	52
10	8	-30	58
10	8	-31	48
10	8	-29	54
15	0	-21	31
15	0	-22	32
15	0	-20	30
15	0	-20	31
15	0	-20	31
15	0	-20	31
15	0	-20	31
15	0	-19	31
15	0	-19	31
15	0	-20	30
15	0	-20	30
15	0	-20	30
15	1	-19	35
15	1	-22	35
15	1	-19	32
15	1	-20	32
15	1	-21	33
15	1	-22	32
15	1	-22	37
15	1	-21	31
15	1	-20	32
15	1	-20	32
15	1	-20	28
15	1	-21	28
15	2	-17	40
15	2	-19	37
15	2	-21	37
15	2	-23	37
15	2	-22	34
15	2	-23	37
15	2	-22	36
15	2	-23	43
15	2	-22	39
15	2	-23	36
15	2	-18	33
15	2	-22	31
15	3	-16	39
15	3	-20	37
15	3	-14	39
15	3	-18	35
15	3	-20	35
15	3	-22	45
15	3	-22	45
15	3	-20	36
15	3	-20	46
15	3	-24	44
15	3	-20	44
15	3	-18	47
15	4	-21	38
15	4	-18	41
15	4	-20	48
15	4	-21	42
15	4	-18	41
15	4	-18	41
15	4	-18	47
15	4	-16	48
15	4	-16	46
15	4	-22	47
15	4	-18	54
15	4	-18	44
15	5	-18	38
15	5	-18	46
15	5	-19	37
15	5	-17	41
15	5	-29	85
15	5	-16	69
15	5	-24	40
15	5	-21	48
15	5	-17	53
15	5	-17	54
15	5	-19	44
15	5	-19	58
15	6	-18	39
15	6	-23	50
15	6	-17	47
15	6	-20	43
15	6	-18	57
15	6	-29	80
15	6	-27	86
15	6	-28	85
15	6	-20	66
15	6	-19	63
15	6	-19	57
15	6	-15	73
15	7	-21	44
15	7	-18	49
15	7	-33	81
15	7	-18	66
15	7	-21	63
15	7	-28	83
15	7	-22	48
15	7	-23	54
15	7	-17	41
15	7	-24	63
15	7	-29	86
15	7	-41	85
15	8	-31	83
15	8	-29	80
15	8	-24	78
15	8	-21	77
15	8	-21	80
15	8	-21	81
15	8	-37	78
15	8	-36	79
15	8	-20	45
15	8	-26	61
15	8	-14	62
15	8	-28	82
20	0	-18	28
20	0	-18	28
20	0	-18	29
20	0	-19	30
20	0	-19	29
20	0	-18	30
20	0	-18	30
20	0	-19	29
20	0	-17	28
20	0	-17	27
20	0	-16	28
20	0	-17	31
20	1	-18	35
20	1	-17	30
20	1	-14	33
20	1	-16	32
20	1	-18	32
20	1	-18	32
20	1	-17	31
20	1	-16	30
20	1	-18	32
20	1	-16	25
20	1	-16	25
20	1	-18	27
20	2	-17	34
20	2	-14	43
20	2	-16	33
20	2	-14	34
20	2	-16	39
20	2	-15	42
20	2	-16	39
20	2	-16	39
20	2	-16	37
20	2	-17	39
20	2	-15	44
20	2	-14	45
20	3	-13	40
20	3	-16	36
20	3	-14	39
20	3	-14	37
20	3	-15	34
20	3	-12	43
20	3	-16	49
20	3	-16	42
20	3	-16	45
20	3	-15	44
20	3	-13	53
20	3	-16	51
20	4	-16	39
20	4	-13	48
20	4	-15	44
20	4	-16	40
20	4	-14	40
20	4	-17	62
20	4	-16	59
20	4	-16	65
20	4	-16	56
20	4	-12	60
20	4	-16	59
20	4	-15	41
20	5	-13	49
20	5	-14	45
20	5	-15	38
20	5	-16	53
20	5	-18	42
20	5	-18	70
20	5	-15	63
20	5	-13	68
20	5	-15	72
20	5	-10	67
20	5	-4	74
20	5	-14	68
20	6	-14	43
20	6	-15	50
20	6	-16	56
20	6	-15	46
20	6	-18	57
20	6	-17	57
20	6	-15	74
20	6	-15	79
20	6	-19	64
20	6	-21	72
20	6	-17	62
20	6	-10	70
20	7	-15	51
20	7	-12	55
20	7	-13	48
20	7	-14	62
20	7	-15	52
20	7	-26	89
20	7	-15	66
20	7	-15	66
20	7	-15	73
20	7	-14	77
20	7	-17	83
20	7	-19	80
20	8	-28	84
20	8	-22	82
20	8	-22	84
20	8	-21	81
20	8	-24	81
20	8	-25	82
20	8	-16	77
20	8	-21	66
20	8	-16	64
20	8	-22	73
20	8	-17	75
20	8	-12	79
25	0	-12	36
25	0	-12	33
25	0	-12	33
25	0	-12	30
25	0	-12	36
25	0	-12	33
25	0	-12	32
25	0	-13	30
25	0	-13	31
25	0	-13	30
25	0	-14	24
25	0	-15	24
25	1	-12	34
25	1	-12	34
25	1	-12	32
25	1	-13	37
25	1	-13	47
25	1	-11	48
25	1	-10	44
25	1	-15	27
25	1	-14	29
25	1	-13	30
25	1	-12	36
25	1	-12	40
25	2	-12	48
25	2	-13	37
25	2	-13	37
25	2	-13	41
25	2	-13	36
25	2	-11	47
25	2	-12	52
25	2	-14	55
25	2	-15	40
25	2	-15	57
25	2	-16	63
25	2	-15	49
25	3	-13	40
25	3	-14	43
25	3	-13	45
25	3	-14	46
25	3	-13	45
25	3	-8	69
25	3	-11	56
25	3	-11	54
25	3	-11	62
25	3	-11	51
25	3	-14	49
25	3	-9	73
25	4	-15	61
25	4	-14	41
25	4	-16	77
25	4	-14	37
25	4	-14	52
25	4	-12	46
25	4	-12	41
25	4	-16	57
25	4	-13	46
25	4	-5	68
25	4	-9	61
25	4	-12	66
25	5	-13	46
25	5	-4	76
25	5	-13	60
25	5	-14	39
25	5	2	91
25	5	-13	51
25	5	-8	70
25	5	-9	59
25	5	-13	64
25	5	-13	47
25	5	-13	49
25	5	-15	53
25	6	-14	48
25	6	-14	67
25	6	-10	57
25	6	-22	82
25	6	-21	78
25	6	-5	71
25	6	-4	76
25	6	-14	55
25	6	-17	75
25	6	-2	88
25	6	-4	87
25	6	-14	48
25	7	-8	66
25	7	-16	73
25	7	-15	75
25	7	-10	66
25	7	-13	68
25	7	-3	75
25	7	-3	79
25	7	-6	75
25	7	-1	86
25	7	-13	76
25	7	-16	75
25	7	-13	53
25	8	-20	66
25	8	-15	65
25	8	-14	60
25	8	-13	61
25	8	-16	85
25	8	-13	83
25	8	-16	86
25	8	-28	88
25	8	-17	82
25	8	-16	86
25	8	-10	84
25	8	-16	78
30	0	-13	35
30	0	-12	37
30	0	-13	37
30	0	-13	39
30	0	-13	41
30	0	-12	40
30	0	-12	42
30	0	-11	43
30	0	-12	43
30	0	-12	39
30	0	-11	32
30	0	-11	30
30	1	-13	41
30	1	-13	43
30	1	-12	45
30	1	-12	43
30	1	-12	43
30	1	-12	37
30	1	-12	41
30	1	-13	41
30	1	-12	41
30	1	-12	39
30	1	-12	36
30	1	-11	59
30	2	-11	61
30	2	-14	66
30	2	-14	64
30	2	-13	63
30	2	-12	50
30	2	-12	62
30	2	-11	41
30	2	-12	43
30	2	-12	59
30	2	-12	46
30	2	-13	47
30	2	-12	48
30	3	-11	71
30	3	-20	68
30	3	-9	55
30	3	-14	73
30	3	-21	76
30	3	-12	74
30	3	-9	60
30	3	-12	79
30	3	-19	84
30	3	-11	39
30	3	-12	41
30	3	-11	43
30	4	-13	43
30	4	-18	66
30	4	-14	47
30	4	-11	43
30	4	-11	47
30	4	-12	49
30	4	2	93
30	4	3	92
30	4	-13	48
30	4	-12	47
30	4	-12	47
30	4	-11	62
30	5	-18	68
30	5	-14	56
30	5	-13	71
30	5	-14	47
30	5	-13	59
30	5	-12	55
30	5	-10	75
30	5	-19	91
30	5	-14	69
30	5	-12	46
30	5	-15	56
30	5	-12	55
30	6	-21	80
30	6	-14	60
30	6	-21	83
30	6	-1	91
30	6	-11	81
30	6	-1	82
30	6	-12	88
30	6	-21	76
30	6	-13	68
30	6	-13	68
30	6	-18	83
30	6	-15	68
30	7	-14	93
30	7	-11	79
30	7	-19	65
30	7	-14	73
30	7	-15	76
30	7	-14	78
30	7	-13	84
30	7	-12	63
30	7	-14	73
30	7	-14	70
30	7	-15	74
30	7	-15	72
30	8	-16	87
30	8	-13	85
30	8	-13	76
30	8	-22	79
30	8	-14	84
30	8	-15	79
30	8	-12	80
30	8	-12	79
30	8	-13	81
30	8	-14	89
30	8	-15	86
30	8	-15	87
35	0	-11	48
35	0	-11	46
35	0	-12	46
35	0	-12	45
35	0	-13	42
35	0	-12	43
35	0	-12	45
35	0	-12	45
35	0	-12	45
35	0	-12	45
35	0	-12	45
35	0	-12	58
35	1	-13	44
35	1	-12	45
35	1	-12	45
35	1	-11	48
35	1	-12	46
35	1	-12	44
35	1	-12	42
35	1	-10	53
35	1	-13	43
35	1	-13	43
35	1	-11	45
35	1	-12	48
35	2	-9	50
35	2	-10	46
35	2	-12	50
35	2	-12	49
35	2	-10	51
35	2	-12	41
35	2	-13	47
