#elevation	cloud	NE	FWHM
5	0	-27.1667	22.5259
5	1	-27.25	23.3773
5	2	-29.5833	28.5102
5	3	-29.8333	30.4918
5	4	-32.5833	36.6276
5	5	-39.4167	60.6046
5	6	-38.9167	58.9682
5	7	-38.5833	57.6411
5	8	-42.8333	72.0405
10	0	-23.25	28.4825
10	1	-22.8333	29.4548
10	2	-23.8333	31.6267
10	3	-25	35.1485
10	4	-26.4167	41.7572
10	5	-26.3333	47.4956
10	6	-33.3333	58.3674
10	7	-37.4167	77.2393
10	8	-34.4167	64.828
15	0	-20.0833	30.7558
15	1	-20.5833	32.3484
15	2	-21.25	36.7922
15	3	-19.5	41.2351
15	4	-18.6667	44.949
15	5	-19.5	52.8559
15	6	-21.0833	64.0651
15	7	-24.5833	65.5763
15	8	-25.6667	74.667
20	0	-17.8333	28.9382
20	1	-16.8333	30.4822
20	2	-15.5	39.1876
20	3	-14.6667	43.1345
20	4	-15.1667	51.9687
20	5	-13.75	60.3524
20	6	-16	61.8061
20	7	-15.8333	68.1041
20	8	-20.5	77.5983
25	0	-12.6667	31.2197
25	1	-12.4167	37.1035
25	2	-13.5	47.5885
25	3	-11.8333	53.699
25	4	-12.6667	55.7278
25	5	-10.5	60.409
25	6	-11.75	70.6718
25	7	-9.75	72.6791
25	8	-16.1667	77.6831
30	0	-12.0833	38.3753
30	1	-12.1667	42.7814
30	2	-12.3333	54.868
30	3	-13.4167	65.3318
30	4	-10.1667	59.5483
30	5	-13.8333	63.5479
30	6	-13.4167	77.8546
30	7	-14.1667	75.3978
30	8	-14.5	82.7627
35	0	-11.9167	46.2448
35	1	-11.9167	45.5906
35	2	-11.25	50.1174
35	3	-11.1667	54.3599
35	4	-11.75	62.8457
35	5	-11.4167	62.09
35	6	-13.5	67.5561
35	7	-13.3333	69.7788
35	8	-12.5	73.5861
40	0	-5.08333	50.9256
40	1	-3.58333	47.4825
40	2	-1.58333	51.6164
40	3	-1.08333	59.6497
40	4	-3	66.4887
40	5	-3.25	61.8439
40	6	-4.5	62.6804
40	7	-0.166667	70.1368
40	8	-6.41667	79.425
45	0	11	53.2705
45	1	7.5	51.5938
45	2	7.66667	56.6304
45	3	8.16667	60.1533
45	4	7.72727	57.2308
45	5	8.66667	64.6001
45	6	9.41667	65.1837
45	7	12.1667	65.9236
45	8	8.66667	71.2028
50	0	40.5	52.7549
50	1	29.5833	54.6237
50	2	42.25	58.1019
50	3	41.3333	64.0469
50	4	32.5833	62.1457
50	5	22.4167	60.7927
50	6	27.6667	63.9844
50	7	29.5	71.3238
50	8	48.0833	69.4694
