#elevation	cloud	NE	FWHM
10	0	27	31
10	0	26	31
10	0	26	32
10	0	27	32
10	0	28	32
10	0	27	30
10	0	26	32
10	0	27	30
10	0	26	30
10	0	26	31
10	0	26	31
10	0	26	34
10	1	26	31
10	1	26	31
10	1	25	30
10	1	27	29
10	1	26	30
10	1	26	31
10	1	26	31
10	1	26	31
10	1	26	31
10	1	25	31
10	1	26	31
10	1	25	32
10	2	28	32
10	2	28	32
10	2	26	33
10	2	26	32
10	2	28	34
10	2	29	36
10	2	30	34
10	2	25	32
10	2	26	32
10	2	27	33
10	2	28	33
10	2	29	33
10	3	27	35
10	3	27	35
10	3	29	35
10	3	26	35
10	3	29	34
10	3	26	33
10	3	28	35
10	3	33	31
10	3	29	37
10	3	28	37
10	3	29	37
10	3	26	34
10	4	28	37
10	4	29	37
10	4	31	38
10	4	27	34
10	4	25	36
10	4	30	41
10	4	28	48
10	4	30	36
10	4	28	36
10	4	31	39
10	4	28	36
10	4	32	37
10	5	32	43
10	5	35	44
10	5	31	38
10	5	32	38
10	5	32	37
10	5	29	41
10	5	28	46
10	5	32	63
10	5	31	59
10	5	32	59
10	5	31	50
10	5	35	51
10	6	34	39
10	6	34	41
10	6	32	40
10	6	40	70
10	6	47	72
10	6	48	71
10	6	48	68
10	6	30	50
10	6	33	44
10	6	36	45
10	6	35	58
10	6	39	59
10	7	38	67
10	7	39	67
10	7	41	73
10	7	32	62
10	7	44	70
10	7	49	70
10	7	52	73
10	7	51	74
10	7	43	77
10	7	42	71
10	7	50	71
10	7	47	71
10	8	50	70
10	8	50	70
10	8	45	69
10	8	50	69
10	8	30	51
10	8	32	58
10	8	36	56
10	8	41	64
10	8	35	51
10	8	34	55
10	8	37	48
10	8	36	51
15	0	25	32
15	0	26	31
15	0	23	31
15	0	23	32
15	0	22	32
15	0	23	32
15	0	22	32
15	0	22	32
15	0	23	32
15	0	23	31
15	0	23	31
15	0	23	30
15	1	22	35
15	1	25	35
15	1	22	34
15	1	23	34
15	1	24	34
15	1	25	35
15	1	25	35
15	1	25	31
15	1	24	31
15	1	23	30
15	1	24	31
15	1	24	29
15	2	22	36
15	2	22	36
15	2	24	36
15	2	25	35
15	2	25	36
15	2	26	35
15	2	25	32
15	2	25	33
15	2	26	43
15	2	26	36
15	2	21	35
15	2	25	31
15	3	20	43
15	3	25	36
15	3	20	42
15	3	21	41
15	3	23	37
15	3	24	36
15	3	24	36
15	3	24	37
15	3	22	36
15	3	26	41
15	3	22	42
15	3	22	41
15	4	25	41
15	4	23	42
15	4	23	43
15	4	25	41
15	4	21	44
15	4	23	37
15	4	21	41
15	4	21	40
15	4	21	46
15	4	26	51
15	4	22	51
15	4	22	49
