#elevation	cloud	NE	FWHM
5	0	30.9167	29.8636
5	1	31.1667	30.6866
5	2	33.3333	33.0832
5	3	34.1667	34.3548
5	4	33.5833	35.7421
5	5	43.8333	58.3659
5	6	46.6667	57.0307
5	7	42	54.0602
5	8	47.6667	68.1775
10	0	26.5	31.3528
10	1	25.8333	30.7585
10	2	27.5	33.0202
10	3	28.0833	34.8736
10	4	28.9167	38.0756
10	5	31.6667	48.1932
10	6	38	56.1672
10	7	44	70.5975
10	8	39.6667	59.8957
15	0	23.1667	31.5066
15	1	23.8333	32.9039
15	2	24.3333	35.4471
15	3	22.75	39.096
15	4	22.75	44.0454
15	5	24	47.8156
15	6	25.4167	58.6323
15	7	29.8333	57.6657
15	8	30.8333	65.7311
20	0	20.8333	31.0054
20	1	19.8333	31.4497
20	2	20	37.7039
20	3	19.25	42.8408
20	4	20.8333	44.7465
20	5	20.1667	52.2622
20	6	20.0833	56.4417
20	7	21.3333	58.6977
20	8	24.0833	64.984
25	0	16.6667	32.2051
25	1	16.5833	33.1323
25	2	17.6667	41.4638
25	3	17.1667	46.1429
25	4	17.5833	46.9361
25	5	16.6667	53.0605
25	6	15.8333	52.1145
25	7	16.0833	57.4057
25	8	17.1667	67.4005
30	0	13.6667	33.3129
30	1	14.0833	37.9846
30	2	14.1667	45.5796
30	3	12	51.9495
30	4	14.5833	48.4905
30	5	14.5833	52.7573
30	6	12.5833	60.2225
30	7	12.6667	59.6769
30	8	11.5833	70.4888
35	0	12.5833	40.8982
35	1	11.25	40.9033
35	2	10.9167	46.6289
35	3	11.1667	52.5317
35	4	10.9167	57.6144
35	5	10.6667	57.13
35	6	10.8333	60.3835
35	7	9.83333	60.5447
35	8	8.08333	63.3667
40	0	3.16667	50.025
40	1	0.416667	45.0703
40	2	0.833333	49.0663
40	3	1	53.5592
40	4	2	59.0311
40	5	2.16667	57.3011
40	6	3.33333	59.6406
40	7	-0.5	64.8768
40	8	2.5	67.0292
45	0	-9.33333	47.1858
45	1	-10	51.0971
45	2	-8.75	53.3768
45	3	-9.83333	56.8778
45	4	-11.0909	58.251
45	5	-8.66667	56.9912
45	6	-10.0833	59.8331
45	7	-13.9167	62.1812
45	8	-9.83333	66.1053
50	0	-40.1667	51.9254
50	1	-33.9167	52.7178
50	2	-32.9167	56.116
50	3	-32.6667	61.883
50	4	-30.6667	60.0028
50	5	-29.5	62.8676
50	6	-38.1667	62.1738
50	7	-28.9167	67.1975
50	8	-37.75	63.1315
